Msa,DvmtFactor
BaltimoreColumbiaTowson,1
CaliforniaLexington,0.7
Cumberland,0.7
Hagerstown,0.7
PhiladelphiaCamdenWilmington,0.7
Salisbury,0.7
WashingtonArlingtonAlexandria,1
