County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdairCounty,1401,454,734,2448,1001,1644
AdamsCounty,685,256,386,1282,560,860
AllamakeeCounty,2721,920,1431,4433,2022,2803
AppanooseCounty,2383,822,1315,3998,1777,2592
AudubonCounty,1050,423,474,1941,812,1419
BentonCounty,5378,1864,2399,9330,3090,4015
BlackHawkCounty,23831,10139,24354,38758,15877,18131
BooneCounty,5022,1897,2931,8739,3523,4194
BremerCounty,4413,2104,3197,7368,3002,4192
BuchananCounty,4725,1403,2251,6787,2587,3205
BuenaVistaCounty,4111,1734,2783,6203,2374,3055
ButlerCounty,2920,853,1402,4617,2131,2944
CalhounCounty,1684,574,832,2878,1410,2292
CarrollCounty,4195,1393,2054,6755,2545,3874
CassCounty,2622,841,1353,4315,1901,2924
CedarCounty,3686,1240,1693,6323,2464,3093
CerroGordoCounty,7781,3021,5011,14181,6238,7919
CherokeeCounty,2072,722,1143,3748,1783,2604
ChickasawCounty,2438,837,1196,3909,1683,2376
ClarkeCounty,1958,605,1036,2927,1211,1549
ClayCounty,3167,1039,1789,5348,2258,3066
ClaytonCounty,3427,1154,1671,5780,2593,3504
ClintonCounty,9542,3321,5385,16256,6345,8267
CrawfordCounty,3728,1336,1862,5336,2041,2793
DallasCounty,16697,3622,8145,24526,6669,6476
DavisCounty,2148,623,854,2585,1050,1493
DecaturCounty,1564,764,1269,2301,1026,1533
DelawareCounty,3606,1265,1649,6070,2230,2944
DesMoinesCounty,7764,2546,4515,12899,5505,7096
DickinsonCounty,2660,849,1474,5214,2758,3712
DubuqueCounty,18449,6911,12695,29808,11435,14355
EmmetCounty,1904,876,1185,3056,1342,1939
FayetteCounty,3790,1582,2320,6418,2715,4055
FloydCounty,3144,1139,1565,4978,2214,3263
FranklinCounty,2078,700,1100,3315,1450,2037
FremontCounty,1363,503,654,2344,1121,1456
GreeneCounty,1742,608,854,2867,1314,1951
GrundyCounty,2396,842,1163,4030,1680,2342
GuthrieCounty,2127,708,820,3585,1536,2178
HamiltonCounty,3115,975,1543,5184,2021,2835
HancockCounty,2166,698,1068,3627,1616,2166
HardinCounty,3224,1363,1802,5219,2251,3675
HarrisonCounty,2894,1047,1342,5027,1959,2659
HenryCounty,3819,1376,2468,6638,2616,3228
HowardCounty,1982,629,950,3016,1142,1847
HumboldtCounty,1877,588,998,3094,1237,2021
IdaCounty,1399,425,676,2148,976,1465
IowaCounty,3214,1147,1489,5641,2053,2811
JacksonCounty,3731,1353,1824,6580,2667,3693
JasperCounty,6926,2285,3984,12787,4771,6089
JeffersonCounty,2461,944,2690,4919,3328,2501
JohnsonCounty,22074,10920,34042,39590,13045,11211
JonesCounty,3736,1303,2117,7121,2805,3556
KeokukCounty,1976,708,1047,3387,1372,2021
KossuthCounty,2839,1017,1352,4779,2157,3399
LeeCounty,6442,2371,3976,11848,5147,6078
LinnCounty,43145,15343,28817,72082,24351,27488
LouisaCounty,2381,820,1196,3879,1407,1704
LucasCounty,1745,627,769,2758,1205,1794
LyonCounty,2691,779,1125,3624,1414,1948
MadisonCounty,3566,1005,1309,5509,1969,2321
MahaskaCounty,4547,1553,2790,7134,2759,3598
MarionCounty,6862,2674,4002,10601,3978,5192
MarshallCounty,8488,2891,4678,12592,5322,6677
MillsCounty,3111,1050,1364,5251,2260,2023
MitchellCounty,2178,744,984,3247,1281,2342
MononaCounty,1651,583,760,2788,1271,2190
MonroeCounty,1573,540,790,2501,1084,1482
MontgomeryCounty,2030,710,919,3433,1507,2141
MuscatineCounty,9261,3013,4928,14346,5354,5843
OBrienCounty,2807,887,1456,4441,1870,2937
OsceolaCounty,1215,419,623,2145,784,1276
PageCounty,2731,1113,1601,5125,2187,3175
PaloAltoCounty,1719,665,1049,2767,1212,2009
PlymouthCounty,5274,1778,2295,8296,3194,4149
PocahontasCounty,1261,456,644,2273,1059,1617
PolkCounty,93124,27808,64104,152085,46974,46545
PottawattamieCounty,18663,6699,11806,30939,11718,13333
PoweshiekCounty,3224,1587,2653,5572,2390,3488
RinggoldCounty,1048,296,463,1441,674,1209
SacCounty,1913,610,841,3228,1467,2291
ScottCounty,33783,11046,22001,55931,20858,21605
ShelbyCounty,2320,798,949,3909,1651,2540
SiouxCounty,7579,3090,5069,9695,3463,4808
StoryCounty,13462,9609,26291,22996,8239,8945
TamaCounty,3654,1296,1686,5584,2273,3274
TaylorCounty,1211,377,617,1902,883,1327
UnionCounty,2468,867,1442,3842,1648,2267
VanBurenCounty,1478,508,739,2317,1030,1498
WapelloCounty,6730,2509,4487,11460,4583,5856
WarrenCounty,9936,3530,5220,15765,5615,6159
WashingtonCounty,4489,1454,2084,7048,2871,3758
WayneCounty,1225,441,622,1897,800,1418
WebsterCounty,6874,2985,5215,11657,4945,6337
WinnebagoCounty,1919,765,1225,3342,1522,2093
WinneshiekCounty,3471,2058,3238,6198,2544,3547
WoodburyCounty,22690,7812,14052,32658,11835,13125
WorthCounty,1387,554,700,2503,1064,1390
WrightCounty,2542,849,1278,3992,1799,2769
