County,Metropolitan,Town
AdamsCounty,1,1
AsotinCounty,1,1
BentonCounty,1,1
ChelanCounty,1,1
ClallamCounty,1,1
ClarkCounty,1,1
ColumbiaCounty,1,1
CowlitzCounty,1,1
DouglasCounty,1,1
FerryCounty,1,1
FranklinCounty,1,1
GarfieldCounty,1,1
GrantCounty,1,1
GraysHarborCounty,1,1
IslandCounty,1,1
JeffersonCounty,1,1
KingCounty,1,1
KitsapCounty,1,1
KittitasCounty,1,1
KlickitatCounty,1,1
LewisCounty,1,1
LincolnCounty,1,1
MasonCounty,1,1
OkanoganCounty,1,1
PacificCounty,1,1
PendOreilleCounty,1,1
PierceCounty,1,1
SanJuanCounty,1,1
SkagitCounty,1,1
SkamaniaCounty,1,1
SnohomishCounty,1,1
SpokaneCounty,1,1
StevensCounty,1,1
ThurstonCounty,1,1
WahkiakumCounty,1,1
WallaWallaCounty,1,1
WhatcomCounty,1,1
WhitmanCounty,1,1
YakimaCounty,1,1
