Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Bellingham,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Bellingham,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Bellingham,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Bellingham,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,KennewickPasco,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,KennewickPasco,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,KennewickPasco,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,KennewickPasco,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Lewiston,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Lewiston,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Lewiston,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Lewiston,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Longview,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Longview,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Longview,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Longview,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,MountVernon,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,MountVernon,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,MountVernon,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,MountVernon,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,OlympiaLacey,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,OlympiaLacey,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,OlympiaLacey,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,OlympiaLacey,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Portland,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Portland,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Portland,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Portland,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Seattle,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Seattle,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Seattle,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Seattle,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Spokane,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Spokane,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Spokane,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Spokane,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Wenatchee,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Wenatchee,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Wenatchee,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Wenatchee,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Yakima,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Yakima,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Yakima,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Yakima,0,0,0,0,0,0,0,0,0,0,0,0,0
