County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AlbanyCounty,49056,23752,49686,100496,38900,42314
AlleganyCounty,8610,4953,7255,14407,6278,7443
BronxCounty,300967,115662,218607,470511,133479,145882
BroomeCounty,32948,15726,30403,63478,25201,32844
CattaraugusCounty,15367,5918,9642,25958,11013,12419
CayugaCounty,13949,5543,9711,27951,10637,12235
ChautauquaCounty,23981,10620,17412,42539,17972,22381
ChemungCounty,16298,5985,10861,30020,11723,13943
ChenangoCounty,9201,3505,5225,17081,7062,8403
ClintonCounty,12763,6581,12863,28967,10002,10952
ColumbiaCounty,10093,4188,6206,21313,9833,11463
CortlandCounty,8479,4740,8492,15216,5951,6458
DelawareCounty,7453,3864,5060,14870,7412,9321
DutchessCounty,52585,24398,37529,105550,37122,40304
ErieCounty,160742,66313,126873,304180,116568,144364
EssexCounty,5961,2451,4302,13736,5777,7143
FranklinCounty,8627,3631,7552,18550,6359,6880
FultonCounty,9904,3837,6239,19137,7513,8901
GeneseeCounty,10660,4404,7200,20766,7659,9390
GreeneCounty,7540,3460,5576,16953,7178,8514
HamiltonCounty,647,217,354,1540,948,1130
HerkimerCounty,11558,4915,7189,21104,8897,10856
JeffersonCounty,25047,7807,21005,37714,11675,12981
KingsCounty,493152,170684,418639,868580,266012,287633
LewisCounty,5459,1908,3028,9184,3432,4076
LivingstonCounty,10644,5680,9852,21814,8418,8985
MadisonCounty,12865,6874,10012,24193,9259,10239
MonroeCounty,136654,57710,106851,247717,91818,103594
MontgomeryCounty,9587,3406,5949,16223,6725,8329
NassauCounty,250900,94070,150628,466921,172332,204681
NewYorkCounty,196131,77462,328291,591614,178222,214153
NiagaraCounty,37629,15194,26315,73934,29009,34388
OneidaCounty,41577,17293,30177,77557,30106,38168
OnondagaCounty,87099,36411,65714,155143,57081,65578
OntarioCounty,19565,7912,11883,36656,15303,16612
OrangeCounty,83483,29466,45319,131513,42047,40985
OrleansCounty,7595,3213,5209,15190,5498,6178
OswegoCounty,22624,10618,16762,41606,15099,15400
OtsegoCounty,9145,5952,9645,18662,8574,10281
PutnamCounty,18955,6887,9803,38210,13438,12417
QueensCounty,379636,139096,345792,826376,253676,286146
RensselaerCounty,27595,12282,22662,54500,20783,21607
RichmondCounty,89151,32929,61446,167237,58623,59344
RocklandCounty,72550,23478,37042,100216,36560,41841
StLawrenceCounty,19626,10041,17506,35335,13883,15553
SaratogaCounty,40749,14303,24245,80905,29411,29994
SchenectadyCounty,28840,10926,19453,53214,19211,23083
SchoharieCounty,5229,2803,3931,10684,4882,5220
SchuylerCounty,3058,1268,1865,6277,2759,3116
SenecaCounty,5994,2370,4728,11859,4828,5472
SteubenCounty,18776,6851,10792,33223,13630,15718
SuffolkCounty,290170,106992,172039,544140,178216,201793
SullivanCounty,14232,5351,8724,26897,10888,11455
TiogaCounty,9800,3389,5121,18025,6758,8032
TompkinsCounty,13269,12612,25256,28194,11304,10929
UlsterCounty,29423,13143,22522,64744,25617,27044
WarrenCounty,10829,4269,6946,22606,9810,11247
WashingtonCounty,10790,4152,7599,22501,8467,9707
WayneCounty,17949,6651,9579,33474,12756,13363
WestchesterCounty,186091,65316,106234,337375,114975,139122
WyomingCounty,6958,2690,5341,15840,5603,5723
YatesCounty,5018,2156,2970,7492,3496,4216
