Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Gulfport,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Gulfport,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Gulfport,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Gulfport,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Hattiesburg,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Hattiesburg,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Hattiesburg,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Hattiesburg,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Jackson,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Jackson,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Memphis,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Memphis,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0
