County,Metropolitan,Town
AdamsCounty,1,1
AlcornCounty,1,1
AmiteCounty,1,1
AttalaCounty,1,1
BentonCounty,1,1
BolivarCounty,1,1
CalhounCounty,1,1
CarrollCounty,1,1
ChickasawCounty,1,1
ChoctawCounty,1,1
ClaiborneCounty,1,1
ClarkeCounty,1,1
ClayCounty,1,1
CoahomaCounty,1,1
CopiahCounty,1,1
CovingtonCounty,1,1
DeSotoCounty,1,1
ForrestCounty,1,1
FranklinCounty,1,1
GeorgeCounty,1,1
GreeneCounty,1,1
GrenadaCounty,1,1
HancockCounty,1,1
HarrisonCounty,1,1
HindsCounty,1,1
HolmesCounty,1,1
HumphreysCounty,1,1
IssaquenaCounty,1,1
ItawambaCounty,1,1
JacksonCounty,1,1
JasperCounty,1,1
JeffersonCounty,1,1
JeffersonDavisCounty,1,1
JonesCounty,1,1
KemperCounty,1,1
LafayetteCounty,1,1
LamarCounty,1,1
LauderdaleCounty,1,1
LawrenceCounty,1,1
LeakeCounty,1,1
LeeCounty,1,1
LefloreCounty,1,1
LincolnCounty,1,1
LowndesCounty,1,1
MadisonCounty,1,1
MarionCounty,1,1
MarshallCounty,1,1
MonroeCounty,1,1
MontgomeryCounty,1,1
NeshobaCounty,1,1
NewtonCounty,1,1
NoxubeeCounty,1,1
OktibbehaCounty,1,1
PanolaCounty,1,1
PearlRiverCounty,1,1
PerryCounty,1,1
PikeCounty,1,1
PontotocCounty,1,1
PrentissCounty,1,1
QuitmanCounty,1,1
RankinCounty,1,1
ScottCounty,1,1
SharkeyCounty,1,1
SimpsonCounty,1,1
SmithCounty,1,1
StoneCounty,1,1
SunflowerCounty,1,1
TallahatchieCounty,1,1
TateCounty,1,1
TippahCounty,1,1
TishomingoCounty,1,1
TunicaCounty,1,1
UnionCounty,1,1
WalthallCounty,1,1
WarrenCounty,1,1
WashingtonCounty,1,1
WayneCounty,1,1
WebsterCounty,1,1
WilkinsonCounty,1,1
WinstonCounty,1,1
YalobushaCounty,1,1
YazooCounty,1,1
