County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AitkinCounty,2387,822,1186,4565,2829,4413
AnokaCounty,70487,23735,40059,126277,38054,32232
BeckerCounty,6751,1936,3284,10159,4737,5637
BeltramiCounty,9332,3733,7497,12854,5272,5754
BentonCounty,8030,2475,6453,12962,3973,4558
BigStoneCounty,892,319,447,1537,750,1324
BlueEarthCounty,10483,5918,15812,17700,6538,7562
BrownCounty,4662,1778,3058,8137,3359,4899
CarltonCounty,6909,2317,3876,12438,4529,5317
CarverCounty,22615,6552,8956,36102,9110,7707
CassCounty,5112,1723,2494,8618,4591,6029
ChippewaCounty,2380,814,1342,3815,1690,2400
ChisagoCounty,11296,3852,5718,20692,6082,6247
ClayCounty,11514,5445,11268,17754,5940,7078
ClearwaterCounty,1800,569,824,2733,1148,1621
CookCounty,691,259,446,1707,1022,1051
CottonwoodCounty,2274,782,1073,3512,1564,2482
CrowWingCounty,11952,3944,6857,19630,8553,11564
DakotaCounty,86611,27301,49181,150183,45460,39816
DodgeCounty,4816,1472,2093,7126,2120,2460
DouglasCounty,6501,2332,4091,11184,4832,7069
FaribaultCounty,2572,932,1338,4502,2030,3179
FillmoreCounty,4173,1345,2032,6580,2736,4000
FreebornCounty,5680,1910,3273,9866,4217,6309
GoodhueCounty,9007,2929,4908,15559,6186,7594
GrantCounty,1049,354,586,1839,856,1334
HennepinCounty,217993,72672,185144,412044,133758,130814
HoustonCounty,3527,1301,1873,6313,2706,3307
HubbardCounty,3654,1230,1790,6329,3180,4245
IsantiCounty,8137,2582,4630,13558,4229,4680
ItascaCounty,8006,2950,4206,14133,7189,8574
JacksonCounty,1893,670,1007,3294,1358,2044
KanabecCounty,3154,1103,1605,5493,2225,2659
KandiyohiCounty,8318,3137,5306,13224,5422,6832
KittsonCounty,800,260,340,1387,736,1029
KoochichingCounty,2225,885,1175,4299,2123,2604
LacquiParleCounty,1235,423,563,2202,1110,1726
LakeCounty,1688,591,1026,3425,1708,2428
LakeoftheWoodsCounty,639,248,301,1345,691,821
LeSueurCounty,5848,1753,3004,9619,3503,3976
LincolnCounty,1100,310,518,1765,759,1444
LyonCounty,5225,2045,4333,7978,2757,3519
McLeodCounty,7685,2401,4132,12536,4294,5603
MahnomenCounty,1361,368,545,1599,685,855
MarshallCounty,1809,607,859,3041,1307,1816
MartinCounty,3747,1297,2072,6451,2956,4317
MeekerCounty,4910,1496,2320,7644,3095,3835
MilleLacsCounty,5460,1822,2874,8749,2986,4206
MorrisonCounty,6743,2209,3696,11056,4169,5325
MowerCounty,8193,2667,4650,12245,4590,6818
MurrayCounty,1575,531,740,2634,1294,1951
NicolletCounty,6156,2716,5761,10304,3873,3917
NoblesCounty,4568,1491,2792,6686,2421,3420
NormanCounty,1361,444,553,2137,892,1465
OlmstedCounty,30682,8826,19695,50910,16002,18133
OtterTailCounty,10136,3565,5455,17605,8510,12032
PenningtonCounty,2771,927,1745,4556,1719,2212
PineCounty,5412,1813,3380,10503,3786,4856
PipestoneCounty,1963,639,971,2963,1159,1901
PolkCounty,6179,2361,4069,9794,3977,5220
PopeCounty,1932,609,1104,3367,1645,2338
RamseyCounty,98152,37576,87230,165586,58915,61181
RedLakeCounty,851,236,408,1341,552,701
RedwoodCounty,3315,1047,1573,4901,2059,3164
RenvilleCounty,2961,1016,1536,5078,2094,3045
RiceCounty,12370,5873,10005,21106,6907,7881
RockCounty,2069,641,893,2998,1251,1835
RoseauCounty,3299,1136,1411,5630,1903,2250
StLouisCounty,32348,14712,29927,62864,28559,31816
ScottCounty,33098,8670,13882,52540,11722,10016
SherburneCounty,21550,6314,11363,33665,8300,7307
SibleyCounty,3251,976,1527,5161,1832,2479
StearnsCounty,28974,12960,27171,47329,15980,18228
SteeleCounty,7996,2476,4110,12378,4346,5270
StevensCounty,1709,971,1786,2582,1081,1597
SwiftCounty,1744,664,958,3122,1329,1966
ToddCounty,5052,1785,2562,7771,3398,4327
TraverseCounty,620,224,296,1022,459,937
WabashaCounty,4096,1438,2134,7301,3015,3692
WadenaCounty,2709,981,1333,4139,1763,2918
WasecaCounty,3814,1091,2281,6730,2401,2819
WashingtonCounty,52042,16783,26450,88889,28988,24984
WatonwanCounty,2282,791,1150,3465,1398,2125
WilkinCounty,1270,447,629,2225,836,1169
WinonaCounty,8165,5417,10440,14533,6015,6891
WrightCounty,31569,8414,13758,47067,11958,11934
YellowMedicineCounty,2015,693,1138,3250,1311,2031
