County,Metropolitan,Town
AdairCounty,1,1
AndrewCounty,1,1
AtchisonCounty,1,1
AudrainCounty,1,1
BarryCounty,1,1
BartonCounty,1,1
BatesCounty,1,1
BentonCounty,1,1
BollingerCounty,1,1
BooneCounty,1,1
BuchananCounty,1,1
ButlerCounty,1,1
CaldwellCounty,1,1
CallawayCounty,1,1
CamdenCounty,1,1
CapeGirardeauCounty,1,1
CarrollCounty,1,1
CarterCounty,1,1
CassCounty,1,1
CedarCounty,1,1
CharitonCounty,1,1
ChristianCounty,1,1
ClarkCounty,1,1
ClayCounty,1,1
ClintonCounty,1,1
ColeCounty,1,1
CooperCounty,1,1
CrawfordCounty,1,1
DadeCounty,1,1
DallasCounty,1,1
DaviessCounty,1,1
DeKalbCounty,1,1
DentCounty,1,1
DouglasCounty,1,1
DunklinCounty,1,1
FranklinCounty,1,1
GasconadeCounty,1,1
GentryCounty,1,1
GreeneCounty,1,1
GrundyCounty,1,1
HarrisonCounty,1,1
HenryCounty,1,1
HickoryCounty,1,1
HoltCounty,1,1
HowardCounty,1,1
HowellCounty,1,1
IronCounty,1,1
JacksonCounty,1,1
JasperCounty,1,1
JeffersonCounty,1,1
JohnsonCounty,1,1
KnoxCounty,1,1
LacledeCounty,1,1
LafayetteCounty,1,1
LawrenceCounty,1,1
LewisCounty,1,1
LincolnCounty,1,1
LinnCounty,1,1
LivingstonCounty,1,1
MaconCounty,1,1
MadisonCounty,1,1
MariesCounty,1,1
MarionCounty,1,1
McDonaldCounty,1,1
MercerCounty,1,1
MillerCounty,1,1
MississippiCounty,1,1
MoniteauCounty,1,1
MonroeCounty,1,1
MontgomeryCounty,1,1
MorganCounty,1,1
NewMadridCounty,1,1
NewtonCounty,1,1
NodawayCounty,1,1
OregonCounty,1,1
OsageCounty,1,1
OzarkCounty,1,1
PemiscotCounty,1,1
PerryCounty,1,1
PettisCounty,1,1
PhelpsCounty,1,1
PikeCounty,1,1
PlatteCounty,1,1
PolkCounty,1,1
PulaskiCounty,1,1
PutnamCounty,1,1
RallsCounty,1,1
RandolphCounty,1,1
RayCounty,1,1
ReynoldsCounty,1,1
RipleyCounty,1,1
SalineCounty,1,1
SchuylerCounty,1,1
ScotlandCounty,1,1
ScottCounty,1,1
ShannonCounty,1,1
ShelbyCounty,1,1
StCharlesCounty,1,1
StClairCounty,1,1
StFrancoisCounty,1,1
StLouisCounty,1,1
StLouiscity,1,1
SteGenevieveCounty,1,1
StoddardCounty,1,1
StoneCounty,1,1
SullivanCounty,1,1
TaneyCounty,1,1
TexasCounty,1,1
VernonCounty,1,1
WarrenCounty,1,1
WashingtonCounty,1,1
WayneCounty,1,1
WebsterCounty,1,1
WorthCounty,1,1
WrightCounty,1,1
