County,Metropolitan,Town
AdamsCounty,1,1
AlexanderCounty,1,1
BondCounty,1,1
BooneCounty,1,1
BrownCounty,1,1
BureauCounty,1,1
CalhounCounty,1,1
CarrollCounty,1,1
CassCounty,1,1
ChampaignCounty,1,1
ChristianCounty,1,1
ClarkCounty,1,1
ClayCounty,1,1
ClintonCounty,1,1
ColesCounty,1,1
CookCounty,1,1
CrawfordCounty,1,1
CumberlandCounty,1,1
DeKalbCounty,1,1
DeWittCounty,1,1
DouglasCounty,1,1
DuPageCounty,1,1
EdgarCounty,1,1
EdwardsCounty,1,1
EffinghamCounty,1,1
FayetteCounty,1,1
FordCounty,1,1
FranklinCounty,1,1
FultonCounty,1,1
GallatinCounty,1,1
GreeneCounty,1,1
GrundyCounty,1,1
HamiltonCounty,1,1
HancockCounty,1,1
HardinCounty,1,1
HendersonCounty,1,1
HenryCounty,1,1
IroquoisCounty,1,1
JacksonCounty,1,1
JasperCounty,1,1
JeffersonCounty,1,1
JerseyCounty,1,1
JoDaviessCounty,1,1
JohnsonCounty,1,1
KaneCounty,1,1
KankakeeCounty,1,1
KendallCounty,1,1
KnoxCounty,1,1
LaSalleCounty,1,1
LakeCounty,1,1
LawrenceCounty,1,1
LeeCounty,1,1
LivingstonCounty,1,1
LoganCounty,1,1
MaconCounty,1,1
MacoupinCounty,1,1
MadisonCounty,1,1
MarionCounty,1,1
MarshallCounty,1,1
MasonCounty,1,1
MassacCounty,1,1
McDonoughCounty,1,1
McHenryCounty,1,1
McLeanCounty,1,1
MenardCounty,1,1
MercerCounty,1,1
MonroeCounty,1,1
MontgomeryCounty,1,1
MorganCounty,1,1
MoultrieCounty,1,1
OgleCounty,1,1
PeoriaCounty,1,1
PerryCounty,1,1
PiattCounty,1,1
PikeCounty,1,1
PopeCounty,1,1
PulaskiCounty,1,1
PutnamCounty,1,1
RandolphCounty,1,1
RichlandCounty,1,1
RockIslandCounty,1,1
SalineCounty,1,1
SangamonCounty,1,1
SchuylerCounty,1,1
ScottCounty,1,1
ShelbyCounty,1,1
StClairCounty,1,1
StarkCounty,1,1
StephensonCounty,1,1
TazewellCounty,1,1
UnionCounty,1,1
VermilionCounty,1,1
WabashCounty,1,1
WarrenCounty,1,1
WashingtonCounty,1,1
WayneCounty,1,1
WhiteCounty,1,1
WhitesideCounty,1,1
WillCounty,1,1
WilliamsonCounty,1,1
WinnebagoCounty,1,1
WoodfordCounty,1,1
