County,Metropolitan,Town
AdamsCounty,1,1
AlleghenyCounty,1,1
ArmstrongCounty,1,1
BeaverCounty,1,1
BedfordCounty,1,1
BerksCounty,1,1
BlairCounty,1,1
BradfordCounty,1,1
BucksCounty,1,1
ButlerCounty,1,1
CambriaCounty,1,1
CameronCounty,1,1
CarbonCounty,1,1
CentreCounty,1,1
ChesterCounty,1,1
ClarionCounty,1,1
ClearfieldCounty,1,1
ClintonCounty,1,1
ColumbiaCounty,1,1
CrawfordCounty,1,1
CumberlandCounty,1,1
DauphinCounty,1,1
DelawareCounty,1,1
ElkCounty,1,1
ErieCounty,1,1
FayetteCounty,1,1
ForestCounty,1,1
FranklinCounty,1,1
FultonCounty,1,1
GreeneCounty,1,1
HuntingdonCounty,1,1
IndianaCounty,1,1
JeffersonCounty,1,1
JuniataCounty,1,1
LackawannaCounty,1,1
LancasterCounty,1,1
LawrenceCounty,1,1
LebanonCounty,1,1
LehighCounty,1,1
LuzerneCounty,1,1
LycomingCounty,1,1
McKeanCounty,1,1
MercerCounty,1,1
MifflinCounty,1,1
MonroeCounty,1,1
MontgomeryCounty,1,1
MontourCounty,1,1
NorthamptonCounty,1,1
NorthumberlandCounty,1,1
PerryCounty,1,1
PhiladelphiaCounty,1,1
PikeCounty,1,1
PotterCounty,1,1
SchuylkillCounty,1,1
SnyderCounty,1,1
SomersetCounty,1,1
SullivanCounty,1,1
SusquehannaCounty,1,1
TiogaCounty,1,1
UnionCounty,1,1
VenangoCounty,1,1
WarrenCounty,1,1
WashingtonCounty,1,1
WayneCounty,1,1
WestmorelandCounty,1,1
WyomingCounty,1,1
YorkCounty,1,1
