Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Altoona,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Altoona,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Altoona,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Altoona,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Cumberland,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Cumberland,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Erie,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Erie,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Erie,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Erie,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Hagerstown,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Hagerstown,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Hagerstown,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Hagerstown,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Johnstown,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Johnstown,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Johnstown,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Johnstown,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Philadelphia,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Philadelphia,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Philadelphia,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Philadelphia,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Pittsburgh,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Pittsburgh,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Pittsburgh,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Pittsburgh,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,StateCollege,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,StateCollege,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,StateCollege,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,StateCollege,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Williamsport,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Williamsport,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Williamsport,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Williamsport,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Youngstown,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Youngstown,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Youngstown,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Youngstown,0,0,0,0,0,0,0,0,0,0,0,0,0
