Msa,Fwy,Art
Altoona,0,0
Cumberland,0,0
Erie,0,0
Hagerstown,0,0
Johnstown,0,0
Philadelphia,0,0
Pittsburgh,0,0
StateCollege,0,0
Williamsport,0,0
Youngstown,0,0
