County,Region,Msa
AdamsCounty,,NA
AlexanderCounty,,NA
BondCounty,,NA
BooneCounty,,Rockford
BrownCounty,,NA
BureauCounty,,NA
CalhounCounty,,NA
CarrollCounty,,NA
CassCounty,,NA
ChampaignCounty,,Champaign
ChristianCounty,,NA
ClarkCounty,,NA
ClayCounty,,NA
ClintonCounty,,NA
ColesCounty,,NA
CookCounty,,Chicago
CrawfordCounty,,NA
CumberlandCounty,,NA
DeKalbCounty,,Chicago
DeWittCounty,,NA
DouglasCounty,,NA
DuPageCounty,,Chicago
EdgarCounty,,NA
EdwardsCounty,,NA
EffinghamCounty,,NA
FayetteCounty,,NA
FordCounty,,NA
FranklinCounty,,NA
FultonCounty,,NA
GallatinCounty,,NA
GreeneCounty,,NA
GrundyCounty,,Chicago
HamiltonCounty,,NA
HancockCounty,,NA
HardinCounty,,NA
HendersonCounty,,NA
HenryCounty,,Davenport
IroquoisCounty,,NA
JacksonCounty,,NA
JasperCounty,,NA
JeffersonCounty,,NA
JerseyCounty,,StLouis
JoDaviessCounty,,Dubuque
JohnsonCounty,,NA
KaneCounty,,Chicago
KankakeeCounty,,Kankakee
KendallCounty,,Chicago
KnoxCounty,,NA
LakeCounty,,Chicago
LaSalleCounty,,NA
LawrenceCounty,,NA
LeeCounty,,NA
LivingstonCounty,,NA
LoganCounty,,NA
McDonoughCounty,,NA
McHenryCounty,,Chicago
McLeanCounty,,BloomingtonNormal
MaconCounty,,Decatur
MacoupinCounty,,NA
MadisonCounty,,StLouis
MarionCounty,,NA
MarshallCounty,,NA
MasonCounty,,NA
MassacCounty,,NA
MenardCounty,,NA
MercerCounty,,NA
MonroeCounty,,StLouis
MontgomeryCounty,,NA
MorganCounty,,NA
MoultrieCounty,,NA
OgleCounty,,NA
PeoriaCounty,,Peoria
PerryCounty,,NA
PiattCounty,,NA
PikeCounty,,NA
PopeCounty,,NA
PulaskiCounty,,NA
PutnamCounty,,NA
RandolphCounty,,NA
RichlandCounty,,NA
RockIslandCounty,,Davenport
StClairCounty,,StLouis
SalineCounty,,NA
SangamonCounty,,Springfield
SchuylerCounty,,NA
ScottCounty,,NA
ShelbyCounty,,NA
StarkCounty,,NA
StephensonCounty,,NA
TazewellCounty,,Peoria
UnionCounty,,NA
VermilionCounty,,Danville
WabashCounty,,NA
WarrenCounty,,NA
WashingtonCounty,,NA
WayneCounty,,NA
WhiteCounty,,NA
WhitesideCounty,,NA
WillCounty,,Chicago
WilliamsonCounty,,NA
WinnebagoCounty,,Rockford
WoodfordCounty,,Peoria
