"County","AdamsCounty","AlexanderCounty","BondCounty","BooneCounty","BrownCounty","BureauCounty","CalhounCounty","CarrollCounty","CassCounty","ChampaignCounty","ChristianCounty","ClarkCounty","ClayCounty","ClintonCounty","ColesCounty","CookCounty","CrawfordCounty","CumberlandCounty","DeKalbCounty","DeWittCounty","DouglasCounty","DuPageCounty","EdgarCounty","EdwardsCounty","EffinghamCounty","FayetteCounty","FordCounty","FranklinCounty","FultonCounty","GallatinCounty","GreeneCounty","GrundyCounty","HamiltonCounty","HancockCounty","HardinCounty","HendersonCounty","HenryCounty","IroquoisCounty","JacksonCounty","JasperCounty","JeffersonCounty","JerseyCounty","JoDaviessCounty","JohnsonCounty","KaneCounty","KankakeeCounty","KendallCounty","KnoxCounty","LakeCounty","LaSalleCounty","LawrenceCounty","LeeCounty","LivingstonCounty","LoganCounty","McDonoughCounty","McHenryCounty","McLeanCounty","MaconCounty","MacoupinCounty","MadisonCounty","MarionCounty","MarshallCounty","MasonCounty","MassacCounty","MenardCounty","MercerCounty","MonroeCounty","MontgomeryCounty","MorganCounty","MoultrieCounty","OgleCounty","PeoriaCounty","PerryCounty","PiattCounty","PikeCounty","PopeCounty","PulaskiCounty","PutnamCounty","RandolphCounty","RichlandCounty","RockIslandCounty","StClairCounty","SalineCounty","SangamonCounty","SchuylerCounty","ScottCounty","ShelbyCounty","StarkCounty","StephensonCounty","TazewellCounty","UnionCounty","VermilionCounty","WabashCounty","WarrenCounty","WashingtonCounty","WayneCounty","WhiteCounty","WhitesideCounty","WillCounty","WilliamsonCounty","WinnebagoCounty","WoodfordCounty"
"AdamsCounty",15.2,267.5,165.4,269.9,34.9,195.8,85.9,207.3,61.8,189.6,130.7,251.8,234.6,194.3,198.6,294.3,251.2,210.9,247.8,152.4,186.2,289.7,220.5,281.5,203.4,179.7,210.6,245.1,90.2,292.6,94.3,243.5,251.3,46.8,309.2,87.6,153.4,243.1,230,230.1,221.7,104,230,281.5,270.9,261.9,234.8,122.8,330,203.8,268,216.9,211.2,134.1,64.5,294.3,173.9,141,131.7,135,204.1,160.3,93,305.2,108,120.6,160.7,142.8,68.8,174.3,227.9,125.3,219.7,169.2,45.8,304.9,287.8,178.1,193.7,247.7,142,166.5,274.1,100.7,50,72.8,161.6,158.5,241.5,122.4,270.9,220.3,298.3,94.5,196.2,254.3,278.7,188.8,271.1,261.6,269.2,153.6
"AlexanderCounty",267.5,8.2,166.8,433.8,263.2,379,208,424,276.3,250.1,203.8,216.9,158,150.8,203.7,383.2,216.4,193.2,411.8,257.6,221.2,391.6,241.7,159.2,165.1,164.2,284.4,79.9,307.7,106.1,207.8,335.1,104.9,308.4,88.1,349.1,381.4,303.6,61.5,195.2,104.7,188.4,473,50.4,387.5,322.4,357.3,355,421.7,367.5,196.9,392.7,312,269.3,305.1,432.1,299.6,232.3,203.9,163.6,126.8,347.8,295.4,62.9,265.8,395.1,115.8,191.3,229.6,207.7,419.9,318.4,84.8,248.2,230.6,67.6,22.7,363.6,96.8,175.3,402.5,125,87.1,236.1,279.3,228.6,201.3,355.6,457.1,300.1,42.9,280.9,176.1,335.1,105.1,142.7,121,404,362.4,63.5,433.1,328.9
"BondCounty",165.4,166.8,10.1,272.9,134.2,209.6,79.9,255.8,108,135,59.1,101.8,84.7,27.1,88.6,261.2,101.3,78.1,250.8,111.9,106.1,256.7,126.6,125.9,53.4,29.8,169.3,89.5,139.5,137,78.9,210.5,95.8,185.2,153.6,198.9,213.2,188.5,85.2,80.1,66.1,59.5,304.8,126,262.9,207.3,232.7,186.8,297,206.6,118,231.8,178.2,101,156.1,297.3,140.9,86.6,52,42.8,44.4,186.9,127.1,149.6,97.6,226.9,70.8,27,98.3,92.6,259,150.2,64.1,117,139.5,149.4,147.4,202.7,83.1,97.8,234.3,56.1,118.5,67.9,130.3,99.7,68.7,187.4,296.2,131.9,111.4,165.8,142.8,186.1,40.6,95.3,123.2,235.8,238,106,272.2,159.4
"BooneCounty",269.9,433.8,272.9,8.6,245.1,90.4,304.5,76.7,237.4,191.6,218.1,276.4,294.8,310.8,240.6,74.7,299.4,257.4,52.1,169.1,216.7,63.9,257.5,324.1,270.1,262.4,176.9,356.5,196.5,371.2,267.5,87.3,362.8,237.4,397.3,194.2,131.3,156.1,366.2,278.2,333.2,287.2,95,393,44.7,126.4,61.4,160.9,52.5,89.2,316.3,64.7,139.9,170.4,205.5,33.4,145.4,186.2,255.7,285.8,310.7,113.5,196.9,416.6,208.8,163,320.2,250.3,238.8,215.6,45.9,142.4,345.2,200.8,280,416.4,414.4,95.6,336.2,299.9,129.5,305.5,385.5,208.4,226.3,256.5,223.4,133.5,53.3,163.2,401.3,222.4,341.2,179.3,321.6,319.9,351.7,86.3,90.3,373.1,18.9,125.2
"BrownCounty",34.9,263.2,134.2,245.1,9,155.1,75,182.6,32.3,158.3,99.5,220.6,203.4,172.1,167.3,247.7,220,179.6,223.1,121.2,155,243.1,189.2,240.7,172.2,148.5,179.3,231.8,60.6,279.4,59.9,197,238.1,54.4,296,89,128.7,211.9,227.5,198.8,208.5,80.6,205.3,268.3,246.2,230.6,205.3,98.1,283.4,174.2,236.8,192.1,164.6,102.8,46.2,269.6,142.6,109.8,90,115.1,172.9,130.7,63.4,291.9,78.4,102.2,148.3,111.6,37.5,143.1,203.2,95.7,206.5,137.9,36.4,291.7,289.7,148.5,175.4,216.5,134.8,133.6,260.8,69.5,20.4,38.4,130.3,120.3,216.7,92.8,253.7,189.1,257.9,76.2,182.9,228.6,265.5,164.1,224.5,248.4,244.4,124
"BureauCounty",195.8,379,201,90.4,155.1,15.2,232.6,77,138.5,136.8,163.3,221.6,240,238.9,185.8,108.7,244.6,202.6,68.3,114.3,161.9,104.2,202.7,269.3,215.3,207.6,126.3,301.7,99.9,316.4,195.6,66.4,308,163.3,342.5,120.1,47.3,131.2,294.3,223.4,278.4,215.3,114,338.2,91.4,115.8,67.5,86.8,144.4,37.8,261.5,36,85.2,115.6,131.4,114.8,90.6,131.4,183.8,213.9,255.9,43.3,110.7,361.8,122.4,88.9,248.3,178.4,166.9,160.9,50.9,60.2,273.3,146,187.2,361.6,359.6,25.1,264.3,245.1,60.3,233.6,330.7,136.5,136.3,171,168.6,47.4,73.3,82.2,346.5,167.6,286.4,105.2,249.7,265.1,296.9,50.6,85.5,318.3,89.7,70.4
"CalhounCounty",85.9,208,79.9,304.5,75,241.2,8.7,247.1,81.4,188.2,97.7,175.5,158.4,100.7,162.3,292.9,174.9,151.8,282.5,151,179.8,288.3,200.3,196.5,127.1,103.5,209.2,160.1,125.1,207.6,41.5,242.1,166.4,126.7,224.2,153.5,193.1,241.7,155.8,153.8,136.7,23,269.8,196.6,294.5,260.5,264.3,162.6,328.6,238.2,191.7,263.4,209.8,132.7,110.7,329,172.5,125.1,60.9,54,122.8,218.5,122.8,220.2,122.1,166.7,92.9,70.6,68.3,141.4,290.6,181.8,134.7,167.8,50.9,220,218,234.3,119.9,171.5,199.2,78.2,189.1,99.6,84.9,49.7,115.4,183.7,281.2,163.5,182,218.9,213.3,140.7,111.2,169.3,193.8,228.6,269.7,176.6,303.8,191.1
"CarrollCounty",207.3,424,255.8,76.7,182.6,77,247.1,11.1,183.3,210.1,212.2,294.9,313.2,293.6,259.1,134.9,317.8,275.9,77.9,187.5,235.1,121,276,342.5,288.5,270,199.5,353.4,134,389.6,225.3,139.7,359.7,174.8,417.5,131.7,68.7,198.7,349.1,296.7,330,245.9,39.6,389.9,92.8,169.1,107.2,98.4,120.3,111.1,334.8,49.4,158.4,160.6,143,101.2,163.9,204.6,238.5,268.6,294.4,110.7,164.2,413.5,168.6,100.4,303.1,233.1,196.7,234.1,41.5,107.5,328,219.3,214.7,413.3,411.3,98.4,319,318.4,66.9,288.4,382.4,191.3,163.7,210.8,241.9,82.2,37.4,128.4,375.3,240.8,359.7,116.8,304.5,338.4,370.2,27.4,139.2,369.9,66,143.7
"CassCounty",61.8,276.3,108,237.4,32.3,138.5,81.4,183.3,10.1,129.2,73.3,194.4,177.2,145.9,138.2,225.8,193.8,150.5,215.4,88,125.8,221.2,160.1,214.5,146,122.3,142.1,205.7,51.2,253.2,50.6,175,211.9,78.4,269.8,92.1,129.3,182.7,201.4,172.6,182.3,71.3,205.9,242.2,227.4,201.5,197.2,87.9,261.5,171.1,210.6,170.7,142.7,65.6,49.2,261.9,105.4,80.6,74.1,99.2,146.7,114.1,42.8,265.8,47.4,105.3,155.4,85.4,22.1,113.9,185.6,79.1,180.3,108.8,56.5,265.6,263.6,131.9,171.3,190.3,135.4,140.6,234.7,43.3,23.5,41.1,104.2,103.7,217.4,76.2,227.6,159.9,231.7,79.2,156.8,202.4,239.4,164.8,202.6,222.2,236.7,107.4
"ChampaignCounty",189.6,250.1,135,191.6,158.3,136.8,188.2,210.1,129.2,16.3,83,85.6,111,153.8,56.9,141,108.4,73.7,169.6,41.9,32.9,149.4,66.4,140.3,86.3,111.1,42.2,172.8,136.9,187.4,151.1,92.9,179.1,172.3,213.5,180.4,162.6,61.4,205.2,94.5,149.4,170.9,256.6,209.3,145.3,80.2,115.1,136.2,179.5,125.3,125.5,150.5,69.8,70.5,143.2,189.9,57.4,50,139.3,169.4,127,105.6,97,232.9,113.2,176.3,202.1,114.7,122.5,62.4,177.7,99.6,191,26.4,163.7,232.7,230.7,121.4,217.6,116.2,183.7,187.4,201.8,92.1,151.4,140.1,81.5,136.8,214.9,84.2,217.6,31.2,157.5,165.5,170.9,136.2,168,183.7,120.2,189.3,190.9,86.7
