Value,Area,Fwy,Art,Other
BusVmt,BloomingtonNormal,,,
TruckVmt,BloomingtonNormal,,,
BusVmt,Champaign,,,
TruckVmt,Champaign,,,
BusVmt,Chicago,,,
TruckVmt,Chicago,,,
BusVmt,Danville,,,
TruckVmt,Danville,,,
BusVmt,Davenport,,,
TruckVmt,Davenport,,,
BusVmt,Decatur,,,
TruckVmt,Decatur,,,
BusVmt,Dubuque,,,
TruckVmt,Dubuque,,,
BusVmt,Kankakee,,,
TruckVmt,Kankakee,,,
BusVmt,Peoria,,,
TruckVmt,Peoria,,,
BusVmt,Rockford,,,
TruckVmt,Rockford,,,
BusVmt,Springfield,,,
TruckVmt,Springfield,,,
BusVmt,StLouis,,,
TruckVmt,StLouis,,,
