"County","Density"
"AdamsCounty",26.3
"AlexanderCounty",21.9
"BondCounty",28.6
"BooneCounty",41.3
"BrownCounty",9.4
"BureauCounty",23.4
"CalhounCounty",20
"CarrollCounty",28.4
"CassCounty",19.1
"ChampaignCounty",27.4
"ChristianCounty",21.7
"ClarkCounty",19.6
"ClayCounty",19.2
"ClintonCounty",39.8
"ColesCounty",26.7
"CookCounty",47.5
"CrawfordCounty",27.2
"CumberlandCounty",31.9
"DeKalbCounty",35.7
"DeWittCounty",20.5
"DouglasCounty",29.9
"DuPageCounty",21.7
"EdgarCounty",15.6
"EdwardsCounty",30.2
"EffinghamCounty",43.5
"FayetteCounty",20.8
"FordCounty",12.2
"FranklinCounty",48.5
"FultonCounty",25.9
"GallatinCounty",17.3
"GreeneCounty",18.2
"GrundyCounty",30.9
"HamiltonCounty",13.3
"HancockCounty",17.2
"HardinCounty",24.3
"HendersonCounty",19.3
"HenryCounty",31.3
"IroquoisCounty",19.2
"JacksonCounty",39.8
"JasperCounty",13.8
"JeffersonCounty",40.7
"JerseyCounty",38.3
"JoDaviessCounty",27.6
"JohnsonCounty",36.6
"KaneCounty",60.7
"KankakeeCounty",43.5
"KendallCounty",44.3
"KnoxCounty",18.6
"LakeCounty",85.6
"LaSalleCounty",31.5
"LawrenceCounty",26.6
"LeeCounty",26.8
"LivingstonCounty",15.4
"LoganCounty",19.8
"McDonoughCounty",16.6
"McHenryCounty",66.4
"McLeanCounty",24.8
"MaconCounty",32.4
"MacoupinCounty",32.8
"MadisonCounty",63.6
"MarionCounty",31.8
"MarshallCounty",32.7
"MasonCounty",21.2
"MassacCounty",33.4
"MenardCounty",30.8
"MercerCounty",22.9
"MonroeCounty",36.6
"MontgomeryCounty",18.1
"MorganCounty",23.1
"MoultrieCounty",30.9
"OgleCounty",34.1
"PeoriaCounty",50.9
"PerryCounty",22.5
"PiattCounty",26
"PikeCounty",14.3
"PopeCounty",12.1
"PulaskiCounty",30.9
"PutnamCounty",37.5
"RandolphCounty",25.3
"RichlandCounty",20
"RockIslandCounty",44.9
"StClairCounty",52.8
"SalineCounty",29.4
"SangamonCounty",36.1
"SchuylerCounty",10
"ScottCounty",21.3
"ShelbyCounty",23
"StarkCounty",20.8
"StephensonCounty",34.8
"TazewellCounty",47
"UnionCounty",28.6
"VermilionCounty",29.4
"WabashCounty",21.2
"WarrenCounty",15
"WashingtonCounty",19.4
"WayneCounty",16.5
"WhiteCounty",18.5
"WhitesideCounty",32.9
"WillCounty",52.2
"WilliamsonCounty",60.2
"WinnebagoCounty",62.3
"WoodfordCounty",41
