Msa,DvmtFactor
Kankakee,0.75
Peoria,0.80
Rockford,0.80
StLouis,0.90
Chicago,1.00
Decatur,0.75
BloomingtonNormal,0.75
Davenport,0.75
Springfield,0.75
Dubuque,0.70
Danville,0.75
Champaign,0.75
