AlleganyCounty,9224,10247,4487,3203,1326,449,241
AnneArundelCounty,47195,66294,35015,29656,13198,4863,3157
Baltimorecity,90092,71692,38559,24575,13181,6151,5653
BaltimoreCounty,89478,103746,53731,41192,17768,6703,4097
CalvertCounty,5587,9805,5825,5504,2614,952,586
CarolineCounty,2761,4070,2115,1756,854,346,256
CarrollCounty,11943,19855,10718,10309,4534,1558,869
CecilCounty,8050,12176,6604,5727,2656,989,665
CharlesCounty,10118,15554,10042,8465,4285,1670,1080
DorchesterCounty,3835,5008,2179,1489,626,215,170
FrederickCounty,18625,27379,15164,13842,6194,2300,1296
GarrettCounty,3071,4547,1900,1587,598,219,135
HarfordCounty,19358,29839,16405,14723,6424,2300,1169
HowardCounty,22903,32486,19066,18636,7628,2520,1510
KentCounty,2419,3205,1159,855,331,131,65
MontgomeryCounty,89264,108694,60216,54728,25435,10451,8298
PrinceGeorgesCounty,79375,85120,53611,41051,22914,11200,10771
QueenAnnesCounty,3708,6745,2979,2775,1141,423,245
SomersetCounty,2771,3038,1383,910,395,187,104
StMarysCounty,8183,12140,6817,6010,2696,1109,649
TalbotCounty,4575,6573,2138,1745,735,259,132
WashingtonCounty,14831,19343,9129,7239,3140,1211,794
WicomicoCounty,9405,12711,6546,5171,2062,807,518
WorcesterCounty,6232,9271,3131,2193,924,306,172
