County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
BelknapCounty,10031,3742,5854,20862,9542,10057
CarrollCounty,7108,2690,3840,16027,8315,9838
CheshireCounty,12192,6505,11152,25063,10863,11342
CoosCounty,4940,1996,3109,11324,5287,6399
GraftonCounty,13199,7274,13611,28486,12737,13811
HillsboroughCounty,76557,27716,48910,150496,49515,47527
MerrimackCounty,25609,10630,16987,53047,20164,20008
RockinghamCounty,54015,19810,29717,113289,40968,37424
StraffordCounty,20997,10680,20142,42483,14196,14645
SullivanCounty,7534,2577,4345,15413,6656,7217
