"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AllenCounty",6,195,13,115,1990,154,579,71,94,100,27,71,4,38,1227,520,7,292,96,426
"AndersonCounty",39,57,6,90,119,95,360,48,20,111,0,36,3,14,294,360,0,147,21,263
"AtchisonCounty",35,20,22,267,1409,175,514,51,52,168,57,140,52,237,1083,697,48,559,129,316
"BarberCounty",44,255,4,78,180,53,174,19,40,45,2,106,1,20,226,278,20,89,52,157
"BartonCounty",243,947,144,1700,1143,607,1488,355,134,861,154,350,80,296,1584,1943,170,908,307,473
"BourbonCounty",11,36,10,239,1436,332,549,84,33,283,31,185,5,162,825,1435,19,418,85,269
"BrownCounty",75,7,23,113,853,196,510,42,105,241,34,90,2,57,491,806,672,235,75,368
"ButlerCounty",115,152,69,1155,1818,439,1891,415,73,464,121,524,58,345,4514,3127,144,1678,302,1579
"ChaseCounty",28,51,0,17,21,7,61,35,0,15,16,3,0,4,103,34,16,69,13,169
"ChautauquaCounty",32,57,42,24,65,1,100,1,5,22,4,6,0,3,135,130,3,40,17,127
"CherokeeCounty",49,24,78,415,1487,271,502,75,34,126,18,189,0,128,804,882,56,352,74,644
"CheyenneCounty",87,3,25,10,25,110,52,5,9,27,3,19,0,9,122,183,11,61,7,72
"ClarkCounty",72,2,0,6,38,17,54,4,2,32,0,24,9,5,120,78,3,13,5,69
"ClayCounty",69,0,14,100,378,172,397,240,48,90,1,73,33,42,380,552,23,168,65,240
"CloudCounty",32,10,6,111,331,246,430,49,117,88,37,71,0,60,639,728,19,333,101,241
"CoffeyCounty",53,62,963,588,136,79,398,141,73,112,1,135,0,487,404,457,49,175,81,402
"ComancheCounty",20,43,10,8,54,3,76,0,13,67,7,21,1,3,85,154,0,45,11,249
"CowleyCounty",42,64,26,367,3792,294,1212,186,165,384,62,339,23,474,2054,2485,173,1086,212,779
"CrawfordCounty",58,88,98,489,2393,527,1680,594,405,344,223,301,372,411,3007,2594,131,1739,278,1086
"DecaturCounty",68,26,2,23,8,135,78,7,9,29,3,41,0,5,72,194,2,53,24,143
"DickinsonCounty",113,16,61,294,1713,261,738,169,85,191,42,139,225,99,788,839,72,432,154,392
"DoniphanCounty",48,17,12,89,381,217,126,85,21,59,19,20,0,54,581,168,0,54,20,249
"DouglasCounty",78,78,213,1633,3858,933,5451,986,846,937,696,3705,101,1639,10824,6045,448,5988,2817,2272
"EdwardsCounty",123,1,2,33,148,156,79,11,3,31,0,9,0,4,137,130,3,21,11,83
"ElkCounty",10,28,3,18,0,14,37,6,6,30,4,27,0,9,233,18,46,60,24,141
"EllisCounty",32,758,9,639,1145,597,1906,250,511,437,146,538,368,272,1896,3019,222,1821,396,659
"EllsworthCounty",6,54,14,104,371,96,220,15,62,98,19,77,0,23,299,420,19,92,33,418
"FinneyCounty",576,368,446,896,3423,989,2503,446,201,423,154,354,70,320,2121,1951,316,1633,439,1031
"FordCounty",326,22,130,397,6202,666,1600,440,304,276,65,285,69,624,1578,1531,447,1238,302,679
"FranklinCounty",179,111,19,402,870,267,1022,1909,95,131,24,223,37,224,1399,1235,72,678,172,513
"GearyCounty",31,3,4,399,205,732,1137,268,201,271,308,446,70,829,1997,934,40,1267,341,678
"GoveCounty",70,15,9,39,47,86,78,33,12,53,0,40,0,13,138,267,0,58,72,87
"GrahamCounty",18,114,3,42,34,61,80,34,35,15,2,33,0,5,81,182,9,39,17,134
"GrantCounty",269,363,84,311,157,227,248,136,132,101,47,68,0,16,343,347,62,257,88,168
"GrayCounty",526,2,11,167,75,251,150,70,24,129,2,435,23,36,813,163,8,44,49,194
"GreeleyCounty",79,1,4,15,2,49,115,2,11,33,0,16,0,2,57,105,4,10,11,127
"GreenwoodCounty",55,184,13,56,139,74,179,28,17,43,0,32,21,7,250,244,18,90,43,155
"HamiltonCounty",571,32,8,7,0,86,79,12,8,85,0,10,1,5,118,94,0,46,25,124
"HarperCounty",21,121,20,62,354,104,412,138,17,85,3,27,19,30,249,363,4,179,58,210
"HarveyCounty",43,33,25,703,4032,179,1516,132,56,333,84,338,40,144,1595,2787,91,1075,304,628
"HaskellCounty",695,79,0,80,63,158,87,33,5,56,0,17,0,13,262,171,24,33,35,106
"HodgemanCounty",95,2,2,0,0,31,44,13,2,25,3,8,0,3,86,99,0,6,21,100
"JacksonCounty",15,13,14,195,191,72,354,33,47,137,20,67,0,66,685,616,20,1049,130,536
"JeffersonCounty",48,52,80,554,251,69,327,74,32,65,14,84,1,71,725,402,125,93,85,333
"JewellCounty",63,0,60,5,12,72,62,38,7,26,0,11,0,3,92,86,4,45,14,155
"JohnsonCounty",216,273,1985,12917,18151,20582,38516,10616,14653,25660,5209,34348,9250,31955,23544,38589,5839,25244,8507,9343
"KearnyCounty",273,4,4,20,9,6,83,57,23,65,2,12,0,6,231,227,9,58,9,200
"KingmanCounty",44,97,1,201,463,77,218,61,13,182,2,65,0,7,318,417,28,142,22,180
"KiowaCounty",61,22,0,25,2,140,55,18,26,28,5,7,1,18,308,219,6,63,39,147
"LabetteCounty",31,2,34,116,2203,208,868,437,100,242,29,124,191,113,1086,3402,10,539,157,471
"LaneCounty",104,20,36,4,0,115,38,3,12,65,0,10,0,6,104,90,13,6,19,126
"LeavenworthCounty",52,10,88,1242,1044,270,1960,322,157,892,242,1256,25,838,2880,2756,93,1428,572,2067
"LincolnCounty",44,0,9,42,25,82,60,12,13,31,0,23,1,30,164,128,3,29,22,122
"LinnCounty",28,100,314,153,113,39,206,8,36,81,40,38,1,32,282,81,0,50,69,333
"LoganCounty",51,9,6,14,77,135,269,20,19,61,3,24,1,2,123,211,6,110,17,419
"LyonCounty",63,58,59,369,2755,527,1736,356,338,254,189,224,6,677,2316,2042,180,1430,261,769
"McPhersonCounty",73,157,145,1262,3966,342,1062,165,113,352,84,275,211,343,1792,2179,147,858,381,639
"MarionCounty",100,35,23,116,349,162,250,26,67,93,23,91,12,39,923,608,0,168,66,371
"MarshallCounty",34,6,109,191,1567,260,520,74,100,191,23,119,2,111,402,434,48,235,117,302
"MeadeCounty",215,22,27,114,21,111,121,219,34,52,0,27,0,3,159,216,0,50,20,143
"MiamiCounty",71,96,52,650,555,229,996,301,59,300,132,250,8,214,1218,1835,61,643,167,508
"MitchellCounty",91,4,9,145,506,283,353,101,52,160,5,69,1,11,501,635,49,190,75,282
"MontgomeryCounty",127,120,63,872,3124,489,1432,900,162,327,75,422,10,1055,1540,3105,105,1223,215,752
"MorrisCounty",105,7,21,79,150,64,165,11,62,58,0,42,0,7,194,215,17,103,16,141
"MortonCounty",29,61,13,10,59,72,111,1,39,38,0,15,11,6,224,238,8,47,26,96
"NemahaCounty",195,6,43,270,1271,330,505,391,43,253,6,146,0,59,466,882,25,185,81,191
"NeoshoCounty",36,328,30,195,1081,317,788,43,105,218,49,138,5,54,720,1133,59,346,134,450
"NessCounty",5,267,9,54,42,125,87,90,8,47,6,21,0,10,118,221,2,34,56,107
