"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AleutiansEastBorough",0,2,18,4,667,0,62,21,8,1,8,36,15,2,86,43,0,27,13,250
"AleutiansWestCensusArea",16,28,3,34,2707,42,205,539,15,4,30,43,3,10,118,102,5,12,38,350
"AnchorageMunicipality",177,8312,655,8656,2007,4904,18028,10773,4036,5038,2854,12062,2202,8179,10332,24629,2289,15531,5472,13893
"BethelCensusArea",0,12,111,56,12,36,755,485,261,27,213,30,16,34,1297,805,57,26,379,1392
"BristolBayBorough",0,0,29,29,77,0,30,51,19,4,2,33,0,8,79,17,19,49,0,167
"DenaliBorough",0,139,28,42,5,0,16,12,5,2,0,75,0,65,124,14,128,112,9,119
"DillinghamCensusArea",0,1,15,7,132,11,210,96,61,6,86,4,25,10,398,644,11,50,31,409
"FairbanksNorthStarBorough",36,958,425,2291,623,737,4404,1999,466,631,553,1404,136,753,5178,4989,560,3415,938,3441
"HainesBorough",3,0,20,91,14,0,127,14,12,13,6,6,0,13,46,117,41,74,30,81
"HoonahAngoonCensusArea",1,1,11,37,23,8,66,23,0,0,5,0,0,0,108,33,0,26,3,162
"JuneauCityandBorough",66,833,70,633,257,207,2456,772,299,317,250,547,81,313,1489,2441,506,1307,600,5496
"KenaiPeninsulaBorough",51,3091,207,1016,693,205,1955,759,240,159,308,650,8,317,2125,3502,227,1810,677,1796
"KetchikanGatewayBorough",101,10,17,322,2432,108,1753,979,99,366,112,122,24,125,1187,1065,70,487,135,2951
"KodiakIslandBorough",173,13,37,182,1664,29,443,209,46,71,112,45,48,151,608,751,42,444,159,674
"LakeandPeninsulaBorough",0,3,16,14,3,1,24,50,0,1,1,57,2,24,160,4,25,9,25,369
"MatanuskaSusitnaBorough",42,116,245,1804,371,135,3262,598,447,404,201,756,23,580,3448,3708,311,2094,624,2323
"NomeCensusArea",1,35,71,52,9,0,314,244,73,82,59,36,100,16,762,562,106,143,243,666
"NorthSlopeBorough",0,2190,70,125,9,43,176,106,35,6,70,131,328,522,844,340,33,62,87,1349
"NorthwestArcticBorough",0,612,27,50,2,3,180,150,57,4,38,20,0,56,498,437,86,55,13,557
"PetersburgCensusArea",13,8,3,44,864,3,201,18,35,17,5,25,86,7,165,158,7,70,49,169
"PrinceofWalesHyderCensusArea",110,0,27,55,68,1,298,125,8,20,54,2,21,2,372,144,3,88,13,501
"SitkaCityandBorough",35,6,3,327,508,20,420,267,45,78,57,70,10,347,432,855,38,553,118,439
"SkagwayMunicipality",0,0,10,44,14,0,75,330,0,1,11,3,0,2,56,6,123,57,24,85
"SoutheastFairbanksCensusArea",30,441,54,76,40,19,161,63,5,4,12,119,0,75,232,174,7,117,64,105
"ValdezCordovaCensusArea",96,134,82,109,260,4,297,625,79,4,43,104,29,45,391,491,98,355,179,433
"WadeHamptonCensusArea",0,2,16,13,18,7,283,74,2,0,5,11,12,1,1019,31,27,2,83,556
"WrangellCityandBorough",10,2,0,20,131,0,95,36,7,11,3,18,0,4,90,208,2,45,19,112
"YakutatCityandBorough",0,2,13,4,40,0,23,6,3,0,2,0,4,2,25,3,0,25,10,69
"YukonKoyukukCensusArea",0,17,34,18,3,14,189,38,19,1,5,15,19,17,726,93,17,32,75,622
