Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Albany,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Albany,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Atlanta,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Atlanta,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,AugustaRichmondCounty,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,AugustaRichmondCounty,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,AugustaRichmondCounty,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,AugustaRichmondCounty,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Brunswick,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Brunswick,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Chattanooga,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Chattanooga,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Chattanooga,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Chattanooga,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Columbus,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Columbus,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Hinesville,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Hinesville,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Hinesville,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Hinesville,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Macon,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Macon,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Macon,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Macon,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Rome,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Rome,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Rome,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Rome,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Savannah,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Savannah,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Savannah,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Savannah,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Valdosta,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Valdosta,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Valdosta,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Valdosta,0,0,0,0,0,0,0,0,0,0,0,0,0
