"FAFZone","DistrictofColumbia"
"11",747.48
"12",953.45
"19",790.22
"20",1330.54827586207
"41",2339.45
"42",2299.4
"49",2260.01818181818
"50",1048.71533333333
"61",2639.7
"62",2714.28571428571
"63",2673.8
"64",2825.56666666666
"65",2794.85
"69",2775.36451612903
"81",1672.9875
"89",1751.19615384616
"91",348.733333333333
"92",308.166666666667
"99",369.05
"101",101
"109",107.3
"121",740.683333333333
"122",982.9
"123",836.285714285714
"124",902.7
"129",901.05465116279
"131",633.892307692308
"132",603.683333333333
"139",683.592543859649
"151",
"159",
"160",2326.21931818182
"171",748.007692307692
"172",809.977777777778
"179",788.615
"181",669.94
"182",581.666666666667
"183",560.3
"189",621.740163934427
"190",1052.07878787879
"201",1100.71111111111
"202",1267.31666666667
"209",1307.18055555556
"211",523.9
"212",601.945454545454
"219",595.227227722772
"221",1126.13333333333
"222",1281.55
"223",1089
"229",1155.36627906976
"230",641.2
"241",47.7285714285714
"242",33.36
"249",103.95
"251",443.4125
"259",428.8
"261",545.31
"262",661.725
"269",749.962307692307
"271",1146.73684210526
"279",1245.80882352941
"280",949.414634146342
"291",1062.78461538462
"292",858.175
"299",984.326595744681
"300",2048.61428571429
"311",1176.68333333333
"319",1360.71436781609
"321",2450.9
"329",2506.16
"331",486.94
"339",516.68
"341",214.228571428571
"342",149.2
"350",1872.95606060606
"361",400.22
"362",369.833333333333
"363",262.588461538462
"364",360.6625
"369",382.885714285714
"371",383.605555555555
"372",316.91
"373",267.327272727273
"379",352.822857142857
"380",1557.75094339623
"391",483.533333333334
"392",363.865384615385
"393",402.979411764706
"394",468.657142857143
"399",418.447777777778
"401",1331.2375
"402",1229.31
"409",1340.02542372881
"411",2849.95555555556
"419",2754.92222222222
"421",145.3
"422",243.688888888889
"423",218.98
"429",214.818085106383
"441",404.52
"451",519.8
"452",488.96
"459",474.981818181818
"460",1440.46212121213
"471",847.266666666667
"472",668.788235294118
"473",485.007692307692
"479",644.054032258065
"481",1529
"482",1305.1125
"483",1630.25
"484",1340.66842105263
"485",1936.75
"486",1423.00714285714
"487",1751.9
"488",1609.7125
"489",1534.03871794872
"491",2103.55
"499",2132.06315789474
"500",519.528571428571
"511",126.764705882353
"512",179.235714285714
"513",47.0470588235294
"519",211.352325581395
"531",2821.25555555556
"532",2822.16666666667
"539",2684.68518518519
"540",276.011818181818
"551",820.4875
"559",980.16640625
"560",1853.90434782609
