"SCTG","PctEmpty","N"
1,0.404712182455824,0
2,0.409262159847782,0
3,0.295792556943207,2
4,0.40062253072999,0
5,0.199516035193507,1
6,0.207755228768538,2
7,0.207252625608349,2
8,0.209453973305391,7
9,0.5,16
10,0.345868222703136,0
11,0.406653723247503,1
12,0.418310972220155,1
13,0.382289317879428,0
14,0.330631811974,0
15,0.394477968299597,0
16,0.411406611770122,0
17,0.405256894636644,0
18,0.30780628855648,1
19,0.307658966212607,1
20,0.319153846071907,0
21,0.163003296356002,0
22,0.381398011930285,0
23,0.329297413853261,1
24,0.259173648542417,0
25,0.430737531709114,0
26,0.338878682776844,3
27,0.207833893632727,0
28,0.216947168869503,0
29,0.142965266998763,3
30,0.150707615637309,0
31,0.390505619191186,0
32,0.217604044021483,0
33,0.17188990280195,4
34,0.247879158815054,0
35,0.159588441529491,3
36,0.5,11
37,0.179037995207116,0
38,0.253528170079209,0
39,0.198651658784435,8
40,0.0938324914047591,71
41,0.32175579417967,3
43,0.103194523165089,1
99,0.377666020609811,0
