County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AccomackCounty,5752,1956,3537,10543,5040,6336
AlbemarleCounty,17509,9050,13777,32174,12336,14124
AlleghanyCounty,2758,1037,1390,5258,2502,3305
AmeliaCounty,2331,779,1332,4459,1790,1999
AmherstCounty,5581,2421,3817,10734,4470,5330
AppomattoxCounty,2732,928,1659,4960,2087,2607
ArlingtonCounty,28262,6975,51076,82615,20645,18054
AugustaCounty,12817,4769,7559,26163,10603,11839
BathCounty,621,289,414,1615,740,1052
BedfordCounty,12333,4549,5639,24503,10505,11147
BlandCounty,980,390,664,2554,1051,1185
BotetourtCounty,6016,2079,2624,11694,5310,5425
BrunswickCounty,2722,1183,2394,5833,2420,2882
BuchananCounty,3639,1416,2756,8744,3675,3868
BuckinghamCounty,2681,1030,2151,6454,2378,2452
CampbellCounty,9725,3749,6745,18584,7354,8685
CarolineCounty,5776,1696,3407,10295,3627,3744
CarrollCounty,5097,1770,2746,10051,4541,5837
CharlesCityCounty,1044,414,718,2617,1249,1214
CharlotteCounty,2338,893,1236,4037,1731,2351
ChesterfieldCounty,66883,24886,35594,116062,39933,32878
ClarkeCounty,2543,971,1121,5014,2098,2287
CraigCounty,901,325,454,1817,807,886
CulpeperCounty,10064,3180,5248,16977,5522,5698
CumberlandCounty,1842,715,1192,3253,1433,1617
DickensonCounty,2759,959,1675,5493,2354,2663
DinwiddieCounty,5092,2123,3142,10157,3661,3826
EssexCounty,1966,774,1199,3624,1652,1936
FairfaxCounty,217962,67443,140035,418503,131493,106290
FauquierCounty,13408,4563,6180,24073,8690,8289
FloydCounty,2751,865,1475,5178,2324,2686
FluvannaCounty,4896,1521,2470,9536,3246,4022
FranklinCounty,9518,3863,5786,18522,8593,9877
FrederickCounty,16083,5559,8735,28649,9325,9954
GilesCounty,3075,1040,1683,5859,2513,3116
GloucesterCounty,6464,2612,3875,13389,5108,5410
GoochlandCounty,3593,1195,1643,8467,3582,3237
GraysonCounty,2342,945,1401,5082,2504,3259
GreeneCounty,3877,1133,1943,6752,2353,2345
GreensvilleCounty,1644,602,1732,5121,1607,1537
HalifaxCounty,6500,2324,3393,11474,5531,7019
HanoverCounty,20067,7680,9296,36579,13137,13104
HenricoCounty,61436,19642,40905,111300,35728,37924
HenryCounty,9082,3149,5439,18179,7646,10656
HighlandCounty,270,114,162,733,463,579
IsleofWightCounty,6444,2389,3234,12857,5181,5165
JamesCityCounty,11608,4120,6628,21220,9563,13870
KingandQueenCounty,1165,431,685,2359,1102,1203
KingGeorgeCounty,5475,1594,2642,8917,2559,2397
KingWilliamCounty,3249,1061,1718,5920,2017,1970
LancasterCounty,1505,561,821,2967,1983,3554
LeeCounty,4270,1498,2884,9286,3545,4104
LoudounCounty,81809,19233,31537,132471,26836,20425
LouisaCounty,6009,2019,3421,11957,4951,4796
LunenburgCounty,2060,720,1438,4497,1978,2221
MadisonCounty,2439,838,1281,4428,1992,2330
MathewsCounty,1299,506,674,2701,1508,2290
MecklenburgCounty,5191,1879,3375,10569,4929,6784
MiddlesexCounty,1401,589,960,3311,1938,2760
MontgomeryCounty,12664,11274,27884,24762,8580,9228
NelsonCounty,2395,778,1374,4760,2725,2988
NewKentCounty,3300,1195,1701,7115,2892,2226
NorthamptonCounty,2034,671,1259,3686,1958,2781
NorthumberlandCounty,1675,591,959,3208,2184,3713
NottowayCounty,2704,913,2052,5510,1971,2703
OrangeCounty,6336,2042,3238,11360,4442,6063
PageCounty,4225,1472,2509,8265,3323,4248
PatrickCounty,2901,1032,1531,6218,2834,3974
PittsylvaniaCounty,11049,3834,6232,21993,9482,10916
PowhatanCounty,5054,2216,2470,10958,3941,3407
PrinceEdwardCounty,3324,2868,5270,6183,2472,3251
PrinceGeorgeCounty,6579,2434,4753,13926,4321,3712
PrinceWilliamCounty,97645,28505,53113,157026,38493,27220
PulaskiCounty,5524,2042,3515,12115,5445,6231
RappahannockCounty,1185,439,590,2447,1304,1408
RichmondCounty,1300,491,1087,3549,1145,1682
RoanokeCounty,16187,6150,8852,31762,13513,15912
RockbridgeCounty,3467,1243,2270,7177,3530,4620
RockinghamCounty,14929,5409,8503,25803,9706,11964
RussellCounty,4815,1754,3090,10248,4250,4740
ScottCounty,3664,1304,2359,7875,3405,4570
ShenandoahCounty,7569,2630,4385,13838,5803,7768
SmythCounty,5470,2074,3306,10925,4587,5846
SouthamptonCounty,3149,1194,1829,6890,2680,2828
SpotsylvaniaCounty,27550,9750,14114,45339,13530,12114
StaffordCounty,29874,10758,16758,49556,12551,9464
SurryCounty,1177,483,725,2494,1058,1121
SussexCounty,1634,656,1978,4478,1589,1752
TazewellCounty,7499,2767,4797,15419,6839,7757
WarrenCounty,7460,2683,4164,13820,4668,4780
WashingtonCounty,8826,3340,5884,18960,8128,9738
WestmorelandCounty,2816,1051,1808,5356,2778,3645
WiseCounty,7076,2921,5799,14192,5599,5865
