"County","BelknapCounty","CarrollCounty","CheshireCounty","CoosCounty","GraftonCounty","HillsboroughCounty","MerrimackCounty","RockinghamCounty","StraffordCounty","SullivanCounty"
"BelknapCounty",11.1,37.5,87,110.6,51.8,56.3,28.8,69.3,40.5,55.8
"CarrollCounty",37.5,16.2,123.4,76.4,60.6,92.7,65.2,66.4,44.1,84.1
"CheshireCounty",87,123.4,13.9,170.4,103.2,43.6,67.8,80.6,93.3,44.8
"CoosCounty",110.6,76.4,170.4,22,108.7,161.2,133.7,141.1,118.7,138.2
"GraftonCounty",51.8,60.6,103.2,108.7,21.5,88.7,61.2,101.7,82.9,61.2
"HillsboroughCounty",56.3,92.7,43.6,161.2,88.7,15.4,37.1,37.8,50.4,63.4
"MerrimackCounty",28.8,65.2,67.8,133.7,61.2,37.1,15.9,50,44.5,48.7
"RockinghamCounty",69.3,66.4,80.6,141.1,101.7,37.8,50,14.5,22.8,84.9
"StraffordCounty",40.5,44.1,93.3,118.7,82.9,50.4,44.5,22.8,10.1,86.1
"SullivanCounty",55.8,84.1,44.8,138.2,61.2,63.4,48.7,84.9,86.1,12.1
