"SCTG","PctEmpty","N"
1,0.2996218575048,13
2,0.563046419062507,83
3,0.478938630133885,18
4,0.455593374664394,18
5,0.199516035193507,3
6,0.374165797741746,10
7,0.209741983021963,25
8,0.209453973305391,9
9,0.220797674677544,0
10,0.345868222703136,0
11,0.406653723247503,2
12,0.385214961512032,80
13,0.497502853475134,17
14,0.330631811974,0
15,0.462374193142918,25
16,0.411406611770122,3
17,0.424757948680347,12
18,0.369779313257402,23
19,0.373280366050641,11
20,0.319153846071907,0
21,0.163003296356002,0
22,0.481656586242193,17
23,0.329297413853261,7
24,0.259173648542417,5
25,0.423510080791708,31
26,0.417301374236168,39
27,0.207833893632727,3
28,0.216947168869503,6
29,0.142965266998763,2
30,0.150707615637309,5
31,0.430997219787135,66
32,0.30432201563165,20
33,0.334331627867847,70
34,0.414786857387811,56
35,0.159588441529491,5
36,0.227443194326447,60
37,0.179037995207116,5
38,0.253528170079209,0
39,0.175287146643532,10
40,0.116989767500664,163
41,0.406365368915687,48
43,0.0715132665512529,36
99,0.377666020609811,6
