Value,Area,Fwy,Art,Other
BusVmt,BowlingGreen,,,
TruckVmt,BowlingGreen,,,
BusVmt,Cincinnati,,,
TruckVmt,Cincinnati,,,
BusVmt,Clarksville,,,
TruckVmt,Clarksville,,,
BusVmt,ElizabethtownRadcliff,,,
TruckVmt,ElizabethtownRadcliff,,,
BusVmt,Evansville,,,
TruckVmt,Evansville,,,
BusVmt,Huntington,,,
TruckVmt,Huntington,,,
BusVmt,LexingtonFayette,,,
TruckVmt,LexingtonFayette,,,
BusVmt,LouisvilleJeffersonCounty,,,
TruckVmt,LouisvilleJeffersonCounty,,,
BusVmt,Owensboro,,,
TruckVmt,Owensboro,,,
