"County","Metropolitan","Town","Rural"
"AdairCounty",0,0.2454,0.7546
"AllenCounty",0,0.213,0.787
"AndersonCounty",0,0.583,0.417
"BallardCounty",0,0,1
"BarrenCounty",0,0.3672,0.6328
"BathCounty",0,0,1
"BellCounty",0,0.3752,0.6248
"BooneCounty",0.8673,0,0.1327
"BourbonCounty",0,0.5525,0.4475
"BoydCounty",0.7468,0,0.2532
"BoyleCounty",0,0.6518,0.3482
"BrackenCounty",0,0,1
"BreathittCounty",0,0.185,0.815
"BreckinridgeCounty",0,0,1
"BullittCounty",0.6959,0,0.3041
"ButlerCounty",0,0,1
"CaldwellCounty",0,0.4536,0.5464
"CallowayCounty",0,0.5128,0.4872
"CampbellCounty",0.847,0,0.153
"CarlisleCounty",0,0,1
"CarrollCounty",0,0.4778,0.5222
"CarterCounty",0,0.2062,0.7938
"CaseyCounty",0,0,1
"ChristianCounty",0.2751,0.4393,0.2856
"ClarkCounty",0,0.7253,0.2747
"ClayCounty",0,0.2143,0.7857
"ClintonCounty",0,0,1
"CrittendenCounty",0,0.2918,0.7082
"CumberlandCounty",0,0,1
"DaviessCounty",0.7298,0,0.2702
"EdmonsonCounty",0,0,1
"ElliottCounty",0,0,1
"EstillCounty",0,0.2388,0.7612
"FayetteCounty",0.9693,0,0.0307
"FlemingCounty",0,0.1948,0.8052
"FloydCounty",0,0.1613,0.8387
"FranklinCounty",0,0.7245,0.2755
"FultonCounty",0,0.3556,0.6444
"GallatinCounty",0,0,1
"GarrardCounty",0,0.2211,0.7789
"GrantCounty",0,0.3501,0.6499
"GravesCounty",0,0.3059,0.6941
"GraysonCounty",0,0.2642,0.7358
"GreenCounty",0,0,1
"GreenupCounty",0.5309,0.0762,0.3929
"HancockCounty",0,0.1069,0.8931
"HardinCounty",0.6579,0,0.3421
"HarlanCounty",0,0.4584,0.5416
"HarrisonCounty",0,0.3407,0.6593
"HartCounty",0,0.1281,0.8719
"HendersonCounty",0.618,0,0.382
"HenryCounty",0,0,1
"HickmanCounty",0,0,1
"HopkinsCounty",0,0.5288,0.4712
"JacksonCounty",0,0,1
"JeffersonCounty",0.9863,0,0.0137
"JessamineCounty",0.0502,0.6909,0.259
"JohnsonCounty",0,0.2698,0.7302
"KentonCounty",0.9298,5e-04,0.0698
"KnottCounty",0,0,1
"KnoxCounty",0,0.3708,0.6292
"LarueCounty",0,0.2405,0.7595
"LaurelCounty",0,0.4316,0.5684
"LawrenceCounty",0,0.2289,0.7711
"LeeCounty",0,0,1
"LeslieCounty",0,0,1
"LetcherCounty",0,0,1
"LewisCounty",0,0,1
"LincolnCounty",0,0.1834,0.8166
"LivingstonCounty",0,0.0462,0.9538
"LoganCounty",0,0.2502,0.7498
"LyonCounty",0,0,1
"McCrackenCounty",0,0.7218,0.2782
"McCrearyCounty",0,0,1
"McLeanCounty",0,0,1
"MadisonCounty",0,0.6148,0.3852
"MagoffinCounty",0,0,1
"MarionCounty",0,0.2849,0.7151
"MarshallCounty",0,0.1414,0.8586
"MartinCounty",0,0,1
"MasonCounty",0,0.446,0.554
"MeadeCounty",0.141,0,0.859
"MenifeeCounty",0,0,1
"MercerCounty",0,0.4086,0.5914
"MetcalfeCounty",0,0,1
"MonroeCounty",0,0,1
"MontgomeryCounty",0,0.4089,0.5911
"MorganCounty",0,0,1
"MuhlenbergCounty",0,0.3157,0.6843
"NelsonCounty",0,0.4306,0.5694
"NicholasCounty",0,0,1
"OhioCounty",0,0.2651,0.7349
"OldhamCounty",0.7967,0,0.2033
"OwenCounty",0,0,1
"OwsleyCounty",0,0,1
"PendletonCounty",0,0,1
"PerryCounty",0,0.2593,0.7407
"PikeCounty",0,0.122,0.878
"PowellCounty",0,0.3289,0.6711
"PulaskiCounty",0,0.4605,0.5395
"RobertsonCounty",0,0,1
"RockcastleCounty",0,0.1628,0.8372
"RowanCounty",0,0.3121,0.6879
"RussellCounty",0,0,1
"ScottCounty",0.0232,0.6522,0.3246
"ShelbyCounty",0.0398,0.4901,0.4701
"SimpsonCounty",0,0.5478,0.4522
"SpencerCounty",0,0,1
"TaylorCounty",0,0.4781,0.5219
"ToddCounty",0,0,1
"TriggCounty",0,0.2064,0.7936
"TrimbleCounty",0,0.053,0.947
"UnionCounty",0,0.3472,0.6528
"WarrenCounty",0.6882,0,0.3118
"WashingtonCounty",0,0,1
"WayneCounty",0,0.3227,0.6773
"WebsterCounty",0,0,1
"WhitleyCounty",0,0.3484,0.6516
"WolfeCounty",0,0,1
"WoodfordCounty",0,0.6384,0.3616
