"County","Density"
"AdairCounty",35
"AllenCounty",46.1
"AndersonCounty",45.9
"BallardCounty",33.4
"BarrenCounty",56
"BathCounty",41.6
"BellCounty",51
"BooneCounty",89.1
"BourbonCounty",31.4
"BoydCounty",96.2
"BoyleCounty",59.7
"BrackenCounty",41.3
"BreathittCounty",23.1
"BreckinridgeCounty",35.4
"BullittCounty",89.7
"ButlerCounty",29.8
"CaldwellCounty",20.9
"CallowayCounty",48.5
"CampbellCounty",117.7
"CarlisleCounty",26.9
"CarrollCounty",45.2
"CarterCounty",54.4
"CaseyCounty",35.9
"ChristianCounty",30.9
"ClarkCounty",41.1
"ClayCounty",36.7
"ClintonCounty",52.1
"CrittendenCounty",18.4
"CumberlandCounty",22.5
"DaviessCounty",61.5
"EdmonsonCounty",40.2
"ElliottCounty",33.5
"EstillCounty",44.5
"FayetteCounty",45.7
"FlemingCounty",33.3
"FloydCounty",85.3
"FranklinCounty",72.9
"FultonCounty",21.6
"GallatinCounty",84.8
"GarrardCounty",57.8
"GrantCounty",64.2
"GravesCounty",47.3
"GraysonCounty",38.6
"GreenCounty",39.4
"GreenupCounty",44.6
"HancockCounty",41
"HardinCounty",63.4
"HarlanCounty",34.7
"HarrisonCounty",40.9
"HartCounty",38.7
"HendersonCounty",41.8
"HenryCounty",53.9
"HickmanCounty",20.2
"HopkinsCounty",42.3
"JacksonCounty",39.1
"JeffersonCounty",105.1
"JessamineCounty",79.9
"JohnsonCounty",66.6
"KentonCounty",123
"KnottCounty",46.5
"KnoxCounty",53.4
"LarueCounty",41.5
"LaurelCounty",84.3
"LawrenceCounty",29.6
"LeeCounty",37.8
"LeslieCounty",28.2
"LetcherCounty",72.6
"LewisCounty",28.7
"LincolnCounty",61.1
"LivingstonCounty",29.1
"LoganCounty",36.9
"LyonCounty",38.9
"McCrackenCounty",89.2
"McCrearyCounty",42.9
"McLeanCounty",37.8
"MadisonCounty",78.3
"MagoffinCounty",43.2
"MarionCounty",41.7
"MarshallCounty",91
"MartinCounty",56.3
"MasonCounty",41.2
"MeadeCounty",81.2
"MenifeeCounty",31
"MercerCounty",51.8
"MetcalfeCounty",34.9
"MonroeCounty",33.3
"MontgomeryCounty",81.8
"MorganCounty",36.5
"MuhlenbergCounty",46.9
"NelsonCounty",61.8
"NicholasCounty",36.6
"OhioCounty",30
"OldhamCounty",90.5
"OwenCounty",30.9
"OwsleyCounty",24.1
"PendletonCounty",53.7
"PerryCounty",63.9
"PikeCounty",73.2
"PowellCounty",48.3
"PulaskiCounty",54.5
"RobertsonCounty",22.8
"RockcastleCounty",45.4
"RowanCounty",58.4
"RussellCounty",69.2
"ScottCounty",57.8
"ShelbyCounty",54.4
"SimpsonCounty",34.2
"SpencerCounty",91.4
"TaylorCounty",49.5
"ToddCounty",33.3
"TriggCounty",25.9
"TrimbleCounty",55.3
"UnionCounty",28.8
"WarrenCounty",71.5
"WashingtonCounty",39.4
"WayneCounty",31.2
"WebsterCounty",41
"WhitleyCounty",54.6
"WolfeCounty",33.1
"WoodfordCounty",50.6
