Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Albuquerque,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Albuquerque,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Albuquerque,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Albuquerque,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,ElPaso,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,ElPaso,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,ElPaso,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,ElPaso,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Farmington,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Farmington,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Farmington,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Farmington,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,LosLunas,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,LosLunas,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,LosLunas,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,LosLunas,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,SantaFe,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,SantaFe,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,SantaFe,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,SantaFe,0,0,0,0,0,0,0,0,0,0,0,0,0
