"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"PulaskiCounty",11,25,122,410,172,107,1583,166,112,444,127,1420,32,512,2027,1066,46,2078,326,404
"PutnamCounty",22,0,20,19,19,71,156,25,8,70,22,47,2,3,144,296,8,19,25,318
"RallsCounty",16,0,115,219,2066,211,216,118,6,42,13,11,20,82,153,224,11,125,31,96
"RandolphCounty",50,13,60,317,852,461,1023,598,135,287,75,128,678,100,1366,1767,104,698,205,777
"RayCounty",84,14,46,247,377,94,570,204,29,140,13,112,40,78,498,823,88,323,69,266
"ReynoldsCounty",5,3,12,9,283,77,154,25,27,16,2,7,23,12,272,408,6,52,19,85
"RipleyCounty",37,0,20,44,508,51,400,43,23,43,9,86,0,12,405,1019,5,227,70,98
"StCharlesCounty",173,26,656,7920,9818,6363,18545,3917,3786,8063,1689,5528,1397,9845,13160,13515,3720,15579,4771,2424
"StClairCounty",7,5,0,59,52,24,273,94,22,75,12,30,0,93,190,539,0,73,43,216
"SteGenevieveCounty",39,219,35,398,702,374,504,998,53,134,35,76,7,122,342,937,33,402,201,148
"StFrancoisCounty",133,76,131,1052,1888,692,3034,395,222,913,143,428,136,1194,2362,5898,245,1833,684,2639
"StLouisCounty",392,419,1307,29490,33214,35385,70239,19522,13699,35650,12630,40781,32573,44645,46742,97711,11134,51076,18864,10248
"SalineCounty",499,0,138,239,1475,380,942,115,182,267,18,108,58,140,1137,2326,148,576,138,305
"SchuylerCounty",0,0,34,38,14,6,88,4,5,25,0,19,0,0,144,157,4,11,10,56
"ScotlandCounty",25,0,6,32,61,87,163,20,23,37,3,31,0,8,172,353,9,53,37,91
"ScottCounty",381,8,122,802,2373,830,1294,828,247,430,130,428,112,396,1153,3352,50,1105,454,640
"ShannonCounty",30,5,0,24,492,15,132,47,2,39,4,20,1,5,226,185,11,43,12,92
"ShelbyCounty",91,19,5,54,258,61,247,51,11,64,6,58,0,26,271,342,1,80,70,167
"StoddardCounty",504,43,43,444,2533,473,1192,335,96,333,97,163,6,106,846,1740,42,636,178,362
"StoneCounty",4,7,35,486,118,83,702,42,64,104,63,175,49,485,826,534,1228,680,271,364
"SullivanCounty",1,4,43,41,28,109,133,16,51,49,8,36,12,128,252,314,0,10,15,94
"TaneyCounty",14,63,192,849,532,541,4099,449,321,446,612,516,136,1930,1698,2422,2041,6923,970,555
"TexasCounty",35,16,100,205,748,88,735,298,80,192,28,112,10,116,902,1002,3,387,70,758
"VernonCounty",425,31,40,196,1328,234,774,196,60,219,42,153,33,206,844,1640,73,421,155,154
"WarrenCounty",43,8,14,615,1599,254,916,289,52,211,54,143,109,141,787,661,48,573,206,391
"WashingtonCounty",6,55,22,193,532,84,520,190,25,133,41,60,7,121,782,1108,19,276,150,684
"WayneCounty",14,46,6,60,419,13,370,34,154,121,5,67,1,43,331,541,4,205,89,150
"WebsterCounty",40,15,188,396,1023,171,1095,288,49,243,35,172,1,312,1020,625,31,568,121,431
"WorthCounty",14,0,4,17,64,12,44,48,0,18,1,5,0,11,84,67,0,16,7,32
"WrightCounty",26,15,40,164,487,353,773,170,47,143,37,55,71,114,655,480,39,334,127,224
"StLouiscity",348,17,3225,7970,16249,12586,9643,8390,3559,6817,2636,19334,9343,19419,15068,47470,11025,21866,7913,10432
