Msa,DvmtFactor
Columbia,0.95
Charlotte,0.80
Sumter,0.75
MyrtleBeachSocastee,0.80
Florence,0.75
CharlestonNorthCharleston,0.90
Greenville,1.00
AugustaRichmondCounty,0.75
