"SCTG","PctEmpty","N"
1,0.404712182455824,1
2,0.437698162932183,25
3,0.362048764939449,23
4,0.40062253072999,9
5,0.313883274777496,11
6,0.207755228768538,8
7,0.144425336770089,43
8,0.209453973305391,7
9,0.220797674677544,2
10,0.345868222703136,2
11,0.412302558090164,31
12,0.395060975009047,38
13,0.382289317879428,7
14,0.330631811974,1
15,0.394477968299597,0
16,0.411406611770122,0
17,0.405256894636644,4
18,0.30780628855648,8
19,0.373761270260462,11
20,0.319153846071907,5
21,0.163003296356002,0
22,0.381398011930285,9
23,0.329297413853261,5
24,0.259173648542417,5
25,0.431838998046842,38
26,0.464319308680307,44
27,0.207833893632727,6
28,0.181701753265205,11
29,0.142965266998763,2
30,0.101393768560855,26
31,0.3887676001889,64
32,0.209063509704159,17
33,0.141558165725162,44
34,0.248258776996831,44
35,0.159588441529491,7
36,0.27956627484051,43
37,0.179037995207116,8
38,0.253528170079209,5
39,0.328187810674286,19
40,0.175713358578001,223
41,0.291007992465507,45
43,0.15798972153817,40
99,0.377666020609811,6
