"County","Density"
"AbbevilleCounty",41.1
"AikenCounty",60.1
"AllendaleCounty",17.5
"AndersonCounty",120.3
"BambergCounty",22.5
"BarnwellCounty",34.3
"BeaufortCounty",70.2
"BerkeleyCounty",49.7
"CalhounCounty",39.8
"CharlestonCounty",51.6
"CherokeeCounty",90.5
"ChesterCounty",41.5
"ChesterfieldCounty",43.8
"ClarendonCounty",49.7
"ColletonCounty",28
"DarlingtonCounty",74
"DillonCounty",56
"DorchesterCounty",51.1
"EdgefieldCounty",40.1
"FairfieldCounty",27.5
"FlorenceCounty",71.7
"GeorgetownCounty",32
"GreenvilleCounty",110.2
"GreenwoodCounty",66
"HamptonCounty",29.9
"HorryCounty",83.6
"JasperCounty",25.5
"KershawCounty",51.2
"LancasterCounty",74.8
"LaurensCounty",61.4
"LeeCounty",33.9
"LexingtonCounty",128.3
"McCormickCounty",28.5
"MarionCounty",41.8
"MarlboroCounty",33.8
"NewberryCounty",41
"OconeeCounty",81.3
"OrangeburgCounty",54.9
"PickensCounty",100.4
"RichlandCounty",61.9
"SaludaCounty",35.5
"SpartanburgCounty",132.2
"SumterCounty",57.3
"UnionCounty",37.5
"WilliamsburgCounty",30.4
"YorkCounty",97
