"County","FIPS","StateFIPS","CountyFIPS"
"AbbevilleCounty",45001,45,1
"AikenCounty",45003,45,3
"AllendaleCounty",45005,45,5
"AndersonCounty",45007,45,7
"BambergCounty",45009,45,9
"BarnwellCounty",45011,45,11
"BeaufortCounty",45013,45,13
"BerkeleyCounty",45015,45,15
"CalhounCounty",45017,45,17
"CharlestonCounty",45019,45,19
"CherokeeCounty",45021,45,21
"ChesterCounty",45023,45,23
"ChesterfieldCounty",45025,45,25
"ClarendonCounty",45027,45,27
"ColletonCounty",45029,45,29
"DarlingtonCounty",45031,45,31
"DillonCounty",45033,45,33
"DorchesterCounty",45035,45,35
"EdgefieldCounty",45037,45,37
"FairfieldCounty",45039,45,39
"FlorenceCounty",45041,45,41
"GeorgetownCounty",45043,45,43
"GreenvilleCounty",45045,45,45
"GreenwoodCounty",45047,45,47
"HamptonCounty",45049,45,49
"HorryCounty",45051,45,51
"JasperCounty",45053,45,53
"KershawCounty",45055,45,55
"LancasterCounty",45057,45,57
"LaurensCounty",45059,45,59
"LeeCounty",45061,45,61
"LexingtonCounty",45063,45,63
"McCormickCounty",45065,45,65
"MarionCounty",45067,45,67
"MarlboroCounty",45069,45,69
"NewberryCounty",45071,45,71
"OconeeCounty",45073,45,73
"OrangeburgCounty",45075,45,75
"PickensCounty",45077,45,77
"RichlandCounty",45079,45,79
"SaludaCounty",45081,45,81
"SpartanburgCounty",45083,45,83
"SumterCounty",45085,45,85
"UnionCounty",45087,45,87
"WilliamsburgCounty",45089,45,89
"YorkCounty",45091,45,91
