Value,Area,Fwy,Art,Other
BusVmt,AugustaRichmondCounty,,,
TruckVmt,AugustaRichmondCounty,,,
BusVmt,CharlestonNorthCharleston,,,
TruckVmt,CharlestonNorthCharleston,,,
BusVmt,Charlotte,,,
TruckVmt,Charlotte,,,
BusVmt,Columbia,,,
TruckVmt,Columbia,,,
BusVmt,Florence,,,
TruckVmt,Florence,,,
BusVmt,Greenville,,,
TruckVmt,Greenville,,,
BusVmt,MyrtleBeachSocastee,,,
TruckVmt,MyrtleBeachSocastee,,,
BusVmt,Sumter,,,
TruckVmt,Sumter,,,
