"FAFZone","AbbevilleCounty","AikenCounty","AllendaleCounty","AndersonCounty","BambergCounty","BarnwellCounty","BeaufortCounty","BerkeleyCounty","CalhounCounty","CharlestonCounty","CherokeeCounty","ChesterCounty","ChesterfieldCounty","ClarendonCounty","ColletonCounty","DarlingtonCounty","DillonCounty","DorchesterCounty","EdgefieldCounty","FairfieldCounty","FlorenceCounty","GeorgetownCounty","GreenvilleCounty","GreenwoodCounty","HamptonCounty","HorryCounty","JasperCounty","KershawCounty","LancasterCounty","LaurensCounty","LeeCounty","LexingtonCounty","McCormickCounty","MarionCounty","MarlboroCounty","NewberryCounty","OconeeCounty","OrangeburgCounty","PickensCounty","RichlandCounty","SaludaCounty","SpartanburgCounty","SumterCounty","UnionCounty","WilliamsburgCounty","YorkCounty"
"11",306.4,339.8,377.49,295.47,386.79,364.39,438.79,470.07,409.1,465.8,355.38,389.67,468.68,440.5,415.41,463.39,490.62,430.36,337.17,391.38,471.6,509.15,310.76,317.82,396.49,533.81,420.35,415.99,416.06,333.57,432.15,370.49,309.68,493.99,487.15,361.4,281.85,399.16,301.07,389.65,358.89,331.67,428.36,363.42,475.68,398.17
"12",473.75,490.5,528.2,462.8,537.5,515.1,556.85,620.8,559.8,613,522.75,557,619.4,591.2,574.7,614.1,641.3,581.1,487.9,559.2,622.3,659.85,478.1,475.15,525.3,684.5,538.45,566.7,583.4,500.9,582.85,521.2,460.4,644.7,637.85,528.75,449.2,549.9,468.4,540.35,509.6,499,579.1,530.8,626.4,565.5
"19",341.398181818182,368.416363636364,395.330909090909,330.432727272727,408.909090909091,391.536363636364,438.581818181818,492.181818181818,437.712727272727,477.683636363636,390.374545454545,424.638181818182,496.210909090909,467.112727272727,431.872727272727,492.007272727273,519.24,453.447272727273,365.792727272727,426.596363636364,500.212727272727,532.690909090909,345.736363636364,347.883636363636,407.658181818182,562.432727272727,420.145454545455,444.616363636364,451.025454545455,368.547272727273,460.770909090909,399.107272727273,336.040909090909,522.616363636364,515.770909090909,396.398181818182,316.489090909091,424.843636363636,335.761818181818,418.270909090909,387.509090909091,366.638181818182,456.976363636364,398.403636363636,502.467272727273,433.147272727273
"20",1370.06551724138,1408.36551724138,1443.21379310345,1350.83448275862,1437.70344827586,1430.63793103448,1483.24827586207,1465.99655172414,1414.58965517241,1464.6724137931,1347.71724137931,1375.86206896552,1418.67586206897,1446.63103448276,1452.71379310345,1446.62068965517,1464.46896551724,1451.84827586207,1396.56896551724,1385.32413793103,1452,1480.13448275862,1334.31379310345,1369.96551724138,1454.18965517241,1492.7724137931,1477.64482758621,1415.5724137931,1397.6,1358.36896551724,1426.15172413793,1397.81034482759,1386.80689655172,1466.67586206897,1435.45517241379,1371.44137931034,1337.66896551724,1421.63793103448,1339.75517241379,1398.30689655172,1385.16896551724,1333.60344827586,1427.20689655172,1356.04827586207,1458.20689655172,1374.74827586207
"41",1975.05,2007.6,2045.3,1964.1,2054.6,2032.2,2117.9,2137.9,2076.9,2135.85,2024,2058.3,2136.5,2108.3,2084.2,2131.2,2158.4,2098.2,2005,2060,2139.4,2177,1979.4,1986.45,2066.7,2201.6,2099.5,2083.8,2084.7,2002.2,2100,2038.3,1977.5,2161.8,2155,2030.05,1950.5,2067,1969.7,2057.5,2026.7,2000.3,2096.2,2032.05,2143.5,2066.8
"42",1896.85,1929.4,1967.1,1885.9,1976.4,1954,2039.7,2059.65,1998.7,2057.65,1945.8,1980.1,2058.3,2030.1,2006,2053,2080.2,2019.95,1926.8,1981.8,2061.2,2098.75,1901.2,1908.25,1988.55,2123.4,2021.25,2005.6,2006.45,1924,2021.75,1960.1,1899.3,2083.6,2076.75,1951.85,1872.3,1988.75,1891.5,1979.25,1948.5,1922.1,2017.95,1953.85,2065.3,1988.6
"49",1913.8,1946.36363636364,1984.05454545455,1902.85454545455,1993.35454545455,1970.95454545455,2056.65454545455,2076.61818181818,2015.67272727273,2074.6,1957.89090909091,1996.89090909091,2068.09090909091,2047.07272727273,2022.95454545455,2069.95454545455,2097.19090909091,2036.91818181818,1943.73636363636,1998.79090909091,2078.17272727273,2115.70909090909,1918.15454545455,1925.20454545455,2005.49090909091,2140.38181818182,2038.20909090909,2022.56363636364,2026.99090909091,1940.95454545455,2038.70909090909,1977.05454545455,1916.24545454545,2100.56363636364,2093.57272727273,1968.8,1889.23636363636,2005.71818181818,1908.46363636364,1996.20909090909,1965.45454545455,1935.34545454545,2034.91818181818,1968.48181818182,2082.24545454545,1999.83636363636
"50",708.461333333333,741.138666666666,778.828666666667,697.498666666667,788.112,765.716,851.375333333333,871.822666666666,810.156666666667,869.794666666667,751.678666666666,791.504666666667,860.660666666666,842.266666666667,817.716,864.23,891.456666666666,832.209333333333,738.502,791.706,872.442,910.203333333334,711.616666666667,719.864666666666,800.262,934.658,832.932666666667,816.842666666666,825.018666666666,735.174,832.987333333333,771.743333333334,710.754666666666,894.842666666666,883.608,762.782666666667,682.248666666666,801.041333333334,702.677333333333,790.487333333333,760.158,729.638,829.410666666667,762.886666666667,876.736,793.196
"61",2321.5,2354.04,2391.72,2310.52,2401.02,2378.6,2464.34,2484.3,2423.34,2482.3,2367.84,2409.02,2476.98,2454.74,2430.6,2477.64,2504.88,2444.6,2351.4,2406.48,2485.84,2523.4,2325.8,2332.88,2413.2,2548.08,2445.9,2430.24,2440.86,2348.64,2446.4,2384.72,2323.92,2508.24,2501.16,2376.5,2296.9,2413.4,2316.14,2403.9,2373.14,2345.82,2442.6,2379.62,2489.92,2409.38
"62",2633.9,2672.6,2710.3,2622.95714285714,2719.58571428571,2697.17142857143,2790.38571428571,2807.41428571429,2728.97142857143,2805.4,2626.88571428571,2669.85714285714,2735.2,2777.88571428571,2768.9,2777.87142857143,2805.08571428571,2771.94285714286,2669.95714285714,2684.28571428571,2786.07142857143,2829,2606.45714285714,2645.31428571428,2731.72857142857,2848.28571428571,2771.92857142857,2730.47142857143,2703.04285714286,2643.17142857143,2746.6,2698.62857142857,2635.44285714286,2808.47142857143,2760.8,2663.1,2572.84285714286,2739.71428571429,2614.74285714286,2704.1,2680.42857142857,2605.35714285714,2748.21428571429,2639.6,2795.54285714286,2668.17142857143
