Msa,Fwy,Art
Ames,0,0
CedarRapids,0,0
Davenport,0,0
DesMoines,0,0
Dubuque,0,0
IowaCity,0,0
Omaha,0,0
SiouxCity,0,0
Waterloo,0,0
