County,Metropolitan,Town
AdairCounty,1,1
AdamsCounty,1,1
AllamakeeCounty,1,1
AppanooseCounty,1,1
AudubonCounty,1,1
BentonCounty,1,1
BlackHawkCounty,1,1
BooneCounty,1,1
BremerCounty,1,1
BuchananCounty,1,1
BuenaVistaCounty,1,1
ButlerCounty,1,1
CalhounCounty,1,1
CarrollCounty,1,1
CassCounty,1,1
CedarCounty,1,1
CerroGordoCounty,1,1
CherokeeCounty,1,1
ChickasawCounty,1,1
ClarkeCounty,1,1
ClayCounty,1,1
ClaytonCounty,1,1
ClintonCounty,1,1
CrawfordCounty,1,1
DallasCounty,1,1
DavisCounty,1,1
DecaturCounty,1,1
DelawareCounty,1,1
DesMoinesCounty,1,1
DickinsonCounty,1,1
DubuqueCounty,1,1
EmmetCounty,1,1
FayetteCounty,1,1
FloydCounty,1,1
FranklinCounty,1,1
FremontCounty,1,1
GreeneCounty,1,1
GrundyCounty,1,1
GuthrieCounty,1,1
HamiltonCounty,1,1
HancockCounty,1,1
HardinCounty,1,1
HarrisonCounty,1,1
HenryCounty,1,1
HowardCounty,1,1
HumboldtCounty,1,1
IdaCounty,1,1
IowaCounty,1,1
JacksonCounty,1,1
JasperCounty,1,1
JeffersonCounty,1,1
JohnsonCounty,1,1
JonesCounty,1,1
KeokukCounty,1,1
KossuthCounty,1,1
LeeCounty,1,1
LinnCounty,1,1
LouisaCounty,1,1
LucasCounty,1,1
LyonCounty,1,1
MadisonCounty,1,1
MahaskaCounty,1,1
MarionCounty,1,1
MarshallCounty,1,1
MillsCounty,1,1
MitchellCounty,1,1
MononaCounty,1,1
MonroeCounty,1,1
MontgomeryCounty,1,1
MuscatineCounty,1,1
OBrienCounty,1,1
OsceolaCounty,1,1
PageCounty,1,1
PaloAltoCounty,1,1
PlymouthCounty,1,1
PocahontasCounty,1,1
PolkCounty,1,1
PottawattamieCounty,1,1
PoweshiekCounty,1,1
RinggoldCounty,1,1
SacCounty,1,1
ScottCounty,1,1
ShelbyCounty,1,1
SiouxCounty,1,1
StoryCounty,1,1
TamaCounty,1,1
TaylorCounty,1,1
UnionCounty,1,1
VanBurenCounty,1,1
WapelloCounty,1,1
WarrenCounty,1,1
WashingtonCounty,1,1
WayneCounty,1,1
WebsterCounty,1,1
WinnebagoCounty,1,1
WinneshiekCounty,1,1
WoodburyCounty,1,1
WorthCounty,1,1
WrightCounty,1,1
