County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
BarnstableCounty,29759,12008,18704,65896,35642,53879
BerkshireCounty,20263,9420,15007,42652,19491,24386
BristolCounty,99710,38686,68644,196156,67210,77879
DukesCounty,2590,819,1687,5865,2875,2699
EssexCounty,140058,51888,87839,262875,95416,105083
FranklinCounty,11353,4338,8231,24694,11878,10878
HampdenCounty,88690,36914,61350,154000,56791,65745
HampshireCounty,21462,17034,30570,48020,20972,20022
MiddlesexCounty,263610,98373,215492,550597,177998,197015
NantucketCounty,1804,458,1223,4175,1285,1227
NorfolkCounty,124883,42759,79305,241976,84623,97304
PlymouthCounty,97566,34456,51312,176709,66030,68846
SuffolkCounty,104570,56225,179125,239389,66988,75726
WorcesterCounty,152069,59378,98704,290196,96170,102035
