"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"BarbourCounty",10,319,14,217,81,76,364,117,32,90,19,110,4,63,660,798,4,277,47,248
"BerkeleyCounty",138,14,215,1189,1477,1368,4008,1883,1605,691,303,1402,134,2083,4014,6369,444,2902,655,2477
"BooneCounty",8,2603,42,207,174,87,670,253,34,158,11,330,31,181,706,953,16,274,212,389
"BraxtonCounty",7,72,52,341,291,88,656,34,50,74,18,80,109,30,415,914,10,419,75,203
"BrookeCounty",2,40,48,555,1426,187,875,347,16,122,24,173,32,191,880,1848,230,734,213,275
"CabellCounty",16,73,372,2198,4737,2034,7599,686,736,1212,696,2070,421,3437,4786,13921,610,5451,1559,1553
"CalhounCounty",3,117,7,304,15,5,130,94,11,43,8,53,0,31,191,355,0,27,35,48
"ClayCounty",5,77,12,96,35,41,152,87,4,25,3,3,8,16,284,339,8,55,44,95
"DoddridgeCounty",0,88,0,103,1,0,150,6,13,53,0,2,0,33,286,136,0,116,19,348
"FayetteCounty",29,693,110,422,561,274,1620,162,81,255,66,264,61,229,1396,2218,372,1052,328,1135
"GilmerCounty",2,318,10,155,180,9,175,44,13,24,10,83,2,16,473,167,0,139,31,399
"GrantCounty",41,58,267,685,287,65,354,112,23,140,10,50,55,74,306,886,7,180,338,161
"GreenbrierCounty",152,299,55,472,700,178,1820,330,118,247,132,382,36,591,1344,2485,134,2688,385,660
"HampshireCounty",31,6,48,178,127,110,437,109,54,165,48,89,15,67,933,844,25,317,133,327
"HancockCounty",2,69,130,245,3181,179,822,262,52,327,120,378,2,317,765,1101,300,2154,274,390
"HardyCounty",47,1,9,289,2508,57,502,161,93,152,19,84,47,139,514,473,20,360,95,221
"HarrisonCounty",4,1344,507,1972,1562,1440,4891,1741,607,656,541,1845,513,1379,2066,6685,298,3011,1116,1374
"JacksonCounty",14,108,49,419,1562,235,1175,250,59,236,76,252,19,172,709,1204,51,878,201,320
"JeffersonCounty",81,52,26,601,844,323,1794,273,129,351,149,559,22,397,3056,1135,541,3670,578,928
"KanawhaCounty",26,2391,975,5304,3380,4408,12907,3361,2087,5293,1421,5852,1634,7424,7402,21659,1107,9745,3572,12891
"LewisCounty",38,1307,85,462,196,148,851,400,30,110,97,67,11,373,419,1391,18,768,184,200
"LincolnCounty",2,447,27,236,18,56,360,135,52,55,11,67,1,62,595,520,19,126,74,123
"LoganCounty",7,1684,130,331,700,397,1648,254,122,189,75,331,62,237,1287,1832,80,940,542,627
"McDowellCounty",6,1033,35,64,23,43,558,168,69,117,30,117,20,125,620,958,1,164,82,857
"MarionCounty",4,1236,415,1086,1030,675,2644,473,247,669,181,1176,37,1415,2493,2995,232,1919,758,843
"MarshallCounty",0,3291,364,689,300,196,1135,215,57,113,33,165,351,447,704,1373,161,854,277,625
"MasonCounty",220,26,352,444,479,105,644,567,43,121,46,95,54,76,879,1174,86,309,160,509
"MercerCounty",13,193,194,706,1148,795,3158,430,363,542,187,598,189,1175,2319,5083,289,2167,674,679
"MineralCounty",32,28,37,459,1533,134,963,217,377,134,43,191,33,138,779,1342,39,474,179,244
"MingoCounty",36,1835,90,236,181,123,304,180,60,161,75,183,12,250,629,797,19,161,161,240
"MonongaliaCounty",22,1481,522,2901,3537,1196,5519,745,781,715,699,3118,992,2251,10399,13162,405,6405,2079,2224
"MonroeCounty",63,5,6,196,425,10,103,25,18,41,6,37,0,47,234,305,14,44,53,71
"MorganCounty",13,110,30,127,209,34,368,59,24,91,18,64,40,55,372,545,30,311,89,280
"NicholasCounty",63,642,66,362,691,238,1505,262,46,110,40,212,25,252,772,1798,36,757,221,226
"OhioCounty",9,568,121,1076,1076,1910,3372,290,456,1136,325,1509,603,2008,2197,6790,456,3293,1375,1600
"PendletonCounty",7,55,6,29,56,62,154,100,32,72,5,19,0,20,219,335,15,101,88,85
"PleasantsCounty",6,58,240,273,459,29,193,114,38,74,1,63,0,370,303,375,16,208,42,317
"PocahontasCounty",71,15,16,131,279,12,235,88,60,34,33,139,2,50,277,445,7,741,84,204
"PrestonCounty",31,82,96,1082,653,128,694,303,82,169,46,145,35,270,728,1104,66,435,219,1058
"PutnamCounty",81,99,864,2640,2358,1550,2308,1217,204,557,430,851,269,1179,1353,1971,320,1603,539,426
"RaleighCounty",35,2037,216,1426,834,1573,5105,699,520,565,317,1297,413,3115,2131,7935,418,3701,1047,1812
"RandolphCounty",70,323,96,597,1130,373,1377,389,137,278,97,193,12,342,1018,2891,79,903,273,1028
"RitchieCounty",0,874,15,337,801,44,255,69,62,75,19,108,0,57,276,274,4,120,38,146
"RoaneCounty",0,320,44,248,218,119,497,31,47,100,17,67,1,7,488,727,8,224,56,103
"SummersCounty",28,4,19,82,29,127,243,21,43,44,32,157,0,67,217,396,16,163,55,416
"TaylorCounty",1,431,15,213,209,52,430,109,32,30,11,40,2,54,341,620,26,231,96,271
"TuckerCounty",9,225,26,176,271,4,202,27,15,48,45,33,0,82,198,315,2,545,148,312
"TylerCounty",0,78,43,132,650,68,141,25,9,77,2,25,1,26,238,670,22,87,48,120
"UpshurCounty",95,343,51,684,780,322,1031,429,85,140,62,312,63,144,1064,1516,23,693,213,242
"WayneCounty",14,557,63,432,635,318,942,797,43,119,37,205,21,179,1205,2392,120,410,199,397
"WebsterCounty",89,300,29,62,123,80,168,129,22,28,2,22,0,25,291,449,0,65,25,80
"WetzelCounty",17,167,22,520,1022,70,952,90,71,236,46,115,1,142,440,735,37,516,173,233
"WirtCounty",1,32,5,23,2,1,72,23,5,10,2,7,0,10,159,80,10,16,9,32
"WoodCounty",9,160,306,2183,1239,1150,6588,1348,830,1689,387,1056,308,2432,3039,7431,412,4267,1215,2956
"WyomingCounty",18,1184,38,199,107,73,608,192,29,83,19,186,4,164,794,750,1,296,57,259
