"FAFZone","KentCounty","NewCastleCounty","SussexCounty"
"11",861.29,856.77,869.88
"12",1053.65,1053.8,1055.95
"19",897.350909090909,895.767272727273,903.006363636364
"20",1386.75,1356.77586206897,1392.94482758621
"41",2408.075,2363.15,2406.75
"42",2413.25,2347.3,2422.15
"49",2361.26363636364,2312.56818181818,2362.77272727273
"50",1159.354,1151.25,1167.47
"61",2736.23,2691.32,2734.92
"62",2799.22857142857,2754.3,2809.54285714286
"63",2770.35,2725.5,2769.1
"64",2911.47083333333,2866.575,2920.81666666666
"65",2891.35,2846.5,2890.1
"69",2863.29677419354,2818.38387096774,2870.59677419355
"81",1768.57083333334,1723.6625,1768.25
"89",1845.74711538461,1800.85961538462,1846.45576923077
"91",291.433333333333,245.433333333333,324.633333333333
"92",250.866666666667,204.866666666667,284.066666666667
"99",311.75,265.75,345
"111",98.4,103.6,107.3
"121",831.333333333333,850.35,802.616666666667
"122",1073.55,1092.54285714286,1044.82142857142
"123",926.964285714286,945.971428571429,898.235714285714
"124",993.35,1012.35,964.625
"129",993.493023255814,1008.9988372093,971.579069767442
"131",735.739743589744,736.476923076923,736.252564102564
"132",694.333333333333,713.333333333333,665.616666666667
"139",778.270175438596,791.466666666666,757.582017543859
"151",,,
"159",,,
"160",2411.16136363636,2366.25227272727,2421.4625
"171",832.946153846154,788.030769230769,843.230769230769
"172",906.527777777778,861.633333333333,905.244444444444
"179",880.728125,838.325,883.86875
"181",759.51,714.64,765.2
"182",678.216666666667,633.322222222222,676.944444444444
"183",649.5875,604.675,655.55
"189",714.865573770492,670.928688524591,716.98606557377
"190",1138.33535353535,1093.43181818181,1147.33080808081
"201",1197.25,1152.34444444444,1195.96666666667
"202",1363.86666666667,1318.93333333333,1362.55
"209",1403.72111111111,1358.825,1402.42944444444
"211",617.86875,580.225,619.1125
"212",691.05,665.554545454546,697.2
"219",691.988118811881,676.416336633663,700.723267326733
"221",1239.93333333333,1235.42222222222,1248.91111111111
"222",1395.4,1390.8,1404.3
"223",1202.81,1198.29,1211.74
"229",1269.17790697674,1264.6511627907,1278.12209302325
"230",583.103125,537.95,617.1625
"241",90.1357142857143,72.3285714285714,101.7
"242",113.98,118.44,122.92
"249",103.145833333334,118.266666666667,104.591666666667
"251",386.1,340.125,419.35
"259",371.883333333333,325.566666666667,405.316666666667
"261",630.25,585.37,640.6
"262",746.66875,701.7875,757
"269",834.905384615384,790.002307692308,845.213076923077
"271",1231.67631578947,1186.76315789474,1241.97368421053
"279",1330.74926470588,1285.85588235294,1341.06617647059
"280",1062.55487804878,1058.94329268293,1071.17073170732
"291",1159.33461538462,1114.43846153846,1158.03846153846
"292",954.7125,909.825,953.425
"299",1080.80106382979,1040.41914893617,1080.15638297872
"300",2133.55446428571,2088.66071428571,2143.87142857143
"311",1261.63333333333,1216.71666666667,1271.91666666667
"319",1446.97873563218,1402.0775862069,1455.96724137931
"321",2541.65,2496.75,2546.15
"329",2591.88,2546.94,2601.38666666667
"331",429.64,383.68,462.9
