County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
BernalilloCounty,132814,45501,100488,223566,79181,81014
CatronCounty,462,166,215,964,877,1041
ChavesCounty,15222,5539,8515,19631,7445,9293
CibolaCounty,5605,1958,3684,9256,3224,3486
ColfaxCounty,2295,860,1357,4231,2249,2758
CurryCounty,11675,3497,7932,15113,4633,5526
DeBacaCounty,372,109,174,577,327,463
DoaAnaCounty,46011,18268,34045,62560,22468,25881
EddyCounty,11608,3942,6706,17319,6713,7541
GrantCounty,5347,1859,3001,8192,4816,6299
GuadalupeCounty,836,287,616,1652,568,728
HardingCounty,73,30,44,187,158,203
HidalgoCounty,1005,390,529,1503,652,815
LeaCounty,16076,4901,9548,20772,6439,6991
LincolnCounty,3153,1131,1803,6107,3798,4505
LosAlamosCounty,3482,1126,1227,6658,2771,2686
LunaCounty,5441,1937,2806,6901,3103,4907
McKinleyCounty,18197,6872,10016,22445,7149,6813
MoraCounty,848,299,464,1510,845,915
OteroCounty,13325,4355,9453,19589,7523,9552
QuayCounty,1604,591,820,2743,1418,1865
RioArribaCounty,8199,2826,4757,13371,5434,5659
RooseveltCounty,4355,1927,3719,5544,1938,2363
SandovalCounty,29145,9299,14454,45631,17152,15880
SanJuanCounty,31444,10152,18243,41804,14318,14083
SanMiguelCounty,5135,2478,3705,9344,4262,4469
SantaFeCounty,25023,8387,15585,49116,24255,21804
SierraCounty,1587,540,938,3027,2222,3674
SocorroCounty,3533,1478,2584,5426,2312,2533
TaosCounty,5593,1872,3250,10773,5822,5627
TorranceCounty,3196,1174,1721,5409,2557,2326
UnionCounty,753,278,601,1562,542,813
ValenciaCounty,16566,5832,9048,25616,9765,9742
