Msa,Fwy,Art
AugustaRichmondCounty,0,0
CharlestonNorthCharleston,0,0
Charlotte,0,0
Columbia,0,0
Florence,0,0
Greenville,0,0
MyrtleBeachSocastee,0,0
Sumter,0,0
