Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
PkgCost,Burlington,0,0,0,0,0,0,0,0,0,0,0,0,0
PropCashOut,Burlington,0,0,0,0,0,0,0,0,0,0,0,0,0
PropOthChrgd,Burlington,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkChrgd,Burlington,0,0,0,0,0,0,0,0,0,0,0,0,0
PropWrkPkg,Burlington,0,0,0,0,0,0,0,0,0,0,0,0,0
