County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdamsCounty,5473,1649,2503,5495,1693,1915
AsotinCounty,3869,1395,2433,6664,3090,4172
BentonCounty,39502,12914,22927,57867,21381,20586
ChelanCounty,14851,5202,8569,23028,9628,11175
ClallamCounty,10583,3994,7189,20381,12068,17189
ClarkCounty,93408,30021,50801,150047,52376,48710
ColumbiaCounty,660,230,340,1218,693,937
CowlitzCounty,20318,7157,11385,33590,14155,15805
DouglasCounty,8591,2895,4552,12280,4670,5443
FerryCounty,1194,543,737,2210,1439,1428
FranklinCounty,22908,6214,12127,24690,6528,5696
GarfieldCounty,362,148,164,676,410,506
GrantCounty,22846,7193,12109,27178,9263,10531
GraysHarborCounty,12894,4770,8606,23755,10923,11849
IslandCounty,13398,4615,10180,23567,12307,14439
JeffersonCounty,3562,1354,2226,8431,6457,7842
KingCounty,344378,117514,290478,739983,228217,210679
KitsapCounty,45957,17259,35576,83699,35346,33296
KittitasCounty,6221,3879,9586,11195,4822,5212
KlickitatCounty,3657,1231,1759,6512,3534,3625
LewisCounty,14218,5311,8511,23741,10598,13076
LincolnCounty,1940,676,796,3176,1785,2197
MasonCounty,10148,3688,6656,19493,9602,11112
OkanoganCounty,7952,2673,4178,12700,6547,7070
PacificCounty,2989,1172,1793,5852,3931,5183
PendOreilleCounty,2262,791,999,4044,2420,2485
PierceCounty,164080,56289,114530,281093,91448,87785
SanJuanCounty,1962,746,1100,4761,3543,3657
SkagitCounty,22707,8052,13900,37123,16243,18876
SkamaniaCounty,1982,717,952,3979,1840,1596
SnohomishCounty,143147,49561,94256,268244,84583,73544
SpokaneCounty,90434,34817,71391,154489,59121,60969
StevensCounty,8310,3205,3398,13812,7290,7516
ThurstonCounty,47569,17216,33731,86659,34325,32764
WahkiakumCounty,583,209,260,1105,806,1015
WallaWallaCounty,10890,4887,9054,18098,7074,8778
WhatcomCounty,34661,15905,34296,63474,26164,26640
WhitmanCounty,5577,6072,15015,10209,3646,4257
YakimaCounty,61724,19964,32847,75375,25199,28122
